outer_fold,session,channel,node_strength,diagonal_energy,off_diagonal_energy
3,0,FC4,0.33875643387382254,0.55347026556303092,0.44652973443697064
3,0,FC6,0.15654206637017393,0.55347026556303092,0.44652973443697064
3,0,C5,0.20610590044988428,0.55347026556303092,0.44652973443697064
3,0,C3,0.81747653729386482,0.55347026556303092,0.44652973443697064
3,0,C1,0.49726597003714412,0.55347026556303092,0.44652973443697064
3,0,Cz,0.35723970737722227,0.55347026556303092,0.44652973443697064
3,0,C2,0.50426860057435285,0.55347026556303092,0.44652973443697064
3,0,C4,0.93085435312783904,0.55347026556303092,0.44652973443697064
3,0,C6,0.31817859641732638,0.55347026556303092,0.44652973443697064
3,0,CP5,0.24506381172738484,0.55347026556303092,0.44652973443697064
3,0,CP3,0.4741620076523439,0.55347026556303092,0.44652973443697064
3,0,CP1,0.4019091055922494,0.55347026556303092,0.44652973443697064
3,0,CPz,0.35136177014306647,0.55347026556303092,0.44652973443697064
3,0,CP2,0.40269690478129599,0.55347026556303092,0.44652973443697064
3,0,CP4,0.60125744794892122,0.55347026556303092,0.44652973443697064
3,0,CP6,0.23700468403478103,0.55347026556303092,0.44652973443697064
3,1,FC5,0.24449600543552644,0.53276544771665535,0.46723455228334598
3,1,FC3,0.48258897749208107,0.53276544771665535,0.46723455228334598
3,1,FC1,0.52358191992154768,0.53276544771665535,0.46723455228334598
3,1,FC2,0.48505175183174143,0.53276544771665535,0.46723455228334598
3,1,FC4,0.46422611789519624,0.53276544771665535,0.46723455228334598
3,1,FC6,0.18429804060491109,0.53276544771665535,0.46723455228334598
3,1,C5,0.25770742621295539,0.53276544771665535,0.46723455228334598
3,1,C3,0.85116526424012839,0.53276544771665535,0.46723455228334598
3,1,C1,0.48965548432022088,0.53276544771665535,0.46723455228334598
3,1,Cz,0.47405138099805888,0.53276544771665535,0.46723455228334598
3,1,C2,0.52919896712741532,0.53276544771665535,0.46723455228334598
3,1,C4,0.85044383013164193,0.53276544771665535,0.46723455228334598
3,1,C6,0.23601744259328827,0.53276544771665535,0.46723455228334598
3,1,CP5,0.29509803570767917,0.53276544771665535,0.46723455228334598
3,1,CP3,0.49317474648571291,0.53276544771665535,0.46723455228334598
3,1,CP1,0.39294482088245869,0.53276544771665535,0.46723455228334598
3,1,CPz,0.42989539051239439,0.53276544771665535,0.46723455228334598
3,1,CP2,0.46868210613870143,0.53276544771665535,0.46723455228334598
3,1,CP4,0.57968608693784895,0.53276544771665535,0.46723455228334598
3,1,CP6,0.33354595444690394,0.53276544771665535,0.46723455228334598
4,0,FC5,0.15949086107172916,0.56680140546424174,0.43319859453576004
4,0,FC3,0.43967236542402399,0.56680140546424174,0.43319859453576004
4,0,FC1,0.52277010244325672,0.56680140546424174,0.43319859453576004
4,0,FC2,0.5475221482321575,0.56680140546424174,0.43319859453576004
4,0,FC4,0.32772270547339039,0.56680140546424174,0.43319859453576004
4,0,FC6,0.17770303915115074,0.56680140546424174,0.43319859453576004
4,0,C5,0.21241412486256323,0.56680140546424174,0.43319859453576004
4,0,C3,0.70920371142895122,0.56680140546424174,0.43319859453576004
