subject,session,outer_fold,trial_delta,beta,alpha,absolute_error,sign_agreement
18,0,0,0.52861539465763963,0.31161555345009112,0.55370384197264688,0.21699984120754851,True
18,1,0,0.3286887346319799,0.11575358787976127,0.32339070911037504,0.21293514675221864,True
19,0,2,0.34410539101899079,0.12164640986854328,0.28965190927772122,0.22245898115044752,True
19,1,2,0.22214984887877404,0.0020137989154308074,0.0089080450126377345,0.22013604996334324,True
20,0,3,0.10758724972968148,-0.094447340863199808,-0.38486210103919438,0.20203459059288129,False
20,1,3,0.14098100868427882,-0.056018782233268137,-0.1848424840390718,0.19699979091754696,False
21,0,3,0.50345104903273585,0.2880179343050378,0.5473007866188655,0.21543311472769805,True
21,1,3,0.74089336243997617,0.52352603766667838,0.70002102667358579,0.21736732477329779,True
22,0,4,0.21710096328059958,0.0010897941398123698,0.0030769280594864223,0.21601116914078722,True
22,1,4,0.12185879457595868,-0.092256384301320826,-0.37005760523889952,0.21411517887727949,False
23,0,4,0.38289257562152096,0.16271777050564279,0.5554026783324777,0.22017480511587817,True
23,1,4,0.32845907904557903,0.10851350480150371,0.38354587447649219,0.21994557424407532,True
24,0,5,0.068318020606517704,-0.14652415801312926,-0.50786574116531458,0.21484217861964697,False
24,1,5,0.050095777220336569,-0.16050591685466697,-0.53186216207410908,0.21060169407500354,False
25,0,3,0.077874671869706341,-0.12218656071675371,-0.40359836659300852,0.20006123258646005,False
25,1,3,0.016545095442586678,-0.1760277345736809,-0.59951730146753257,0.19257283001626757,False
26,0,4,0.023046084163036544,-0.18661799411514929,-0.57986744659873146,0.20966407827818584,False
26,1,4,0.056141047312460932,-0.15732076215578444,-0.3802813447501654,0.21346180946824539,False
27,0,5,0.043233106969478463,-0.17072447371489502,-0.62552674982569134,0.21395758068437348,False
27,1,5,-0.022356064712940198,-0.23188642214365335,-0.5518907490644811,0.20953035743071316,True
28,0,5,0.29670772153219094,0.076195863981518772,0.19244193875742732,0.22051185755067215,True
28,1,5,0.30047828628833773,0.081335630823288721,0.27532200042343147,0.21914265546504902,True
29,0,1,0.40187151611844418,0.19772262430202645,0.13228053081001911,0.20414889181641774,True
29,1,1,0.70523588093937595,0.51710371647619913,0.21443886149682045,0.18813216446317682,True
30,0,1,0.17059465569944049,-0.027875100608125536,-0.10753772225470033,0.19846975630756603,False
30,1,1,0.039861813590954059,-0.14054926344429589,-0.56919439883072187,0.18041107703524994,False
31,0,0,0.098147606757275088,-0.10608985759573356,-0.40403658291927996,0.20423746435300866,False
31,1,0,0.051932097599225263,-0.1538465755040764,-0.58622185474388566,0.20577867310330167,False
32,0,3,0.70091062069831378,0.4822147873444641,0.5990844768092819,0.21869583335384968,True
32,1,3,0.57080914651836379,0.36492058696580992,0.50490689406637368,0.20588855955255386,True
33,0,4,0.45106004436562852,0.22897111845508528,0.57612543125038773,0.22208892591054324,True
33,1,4,0.42168519801454935,0.19513451285074074,0.45790514847081432,0.22655068516380861,True
34,0,5,0.019907039077699348,-0.19352326783507964,-0.49350801531446176,0.21343030691277898,False
34,1,5,-0.053070682359656521,-0.25959465237670043,-0.67432849778697124,0.20652397001704392,True
