dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,37,PAST_PROTOTYPE_DIRECT,0.47473131025762605,0.46020641949339125,0.47651006711409394,1.3243212315761661,0.69157520492370639,0.1633704348717116,0.27027027027027029,0.42105263157894735,0.44444444444444442,0.76315789473684215
stieger,chronological,0,37,POPULATION_ONLY,0.45627864706812071,0.42250500200080032,0.4563758389261745,1.1941745152953684,0.65916463636099853,0.067940404354684084,0.24324324324324326,0.18421052631578946,0.55555555555555558,0.84210526315789469
stieger,chronological,0,37,FULL_RIDGE_TRANSFER,0.52166311047890002,0.50941929680713327,0.52348993288590606,1.1803520985289297,0.64988814182405275,0.15277783885480406,0.45945945945945948,0.36842105263157893,0.41666666666666669,0.84210526315789469
stieger,chronological,0,37,ENROLLMENT_PCA_TRANSFER,0.47693417101311836,0.43587310854863037,0.47651006711409394,1.1814513489948648,0.65263325752377188,0.096051376960969811,0.21621621621621623,0.21052631578947367,0.63888888888888884,0.84210526315789469
stieger,chronological,0,37,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.45627864706812071,0.42250500200080032,0.4563758389261745,1.1941745152953684,0.65916463636099853,0.067940404354684084,0.24324324324324326,0.18421052631578946,0.55555555555555558,0.84210526315789469
stieger,chronological,0,41,LRCM,0.28910818713450293,0.23809178743961351,0.28666666666666668,1.4371876947589473,0.76518083805822545,0.19434393467203329,0.10526315789473684,0.026315789473684209,0.47222222222222221,0.55263157894736847
stieger,chronological,0,41,IDENTITY_RESIDUAL_CARRY,0.36878654970760238,0.35000547136941812,0.36666666666666664,1.76088080198606,0.86865896633028494,0.30138381461199892,0.18421052631578946,0.21052631578947367,0.52777777777777779,0.55263157894736847
stieger,chronological,0,41,PAST_PROTOTYPE_DIRECT,0.375,0.36534141248836094,0.37333333333333335,1.6346482642598741,0.83373951238564759,0.23813115112956343,0.21052631578947367,0.26315789473684209,0.5,0.52631578947368418
stieger,chronological,0,41,POPULATION_ONLY,0.29568713450292394,0.24224422442244226,0.29333333333333333,1.463472271433472,0.77554849243430579,0.21129199716958391,0.10526315789473684,0.026315789473684209,0.47222222222222221,0.57894736842105265
stieger,chronological,0,41,FULL_RIDGE_TRANSFER,0.3607456140350877,0.34612525362050978,0.35999999999999999,1.4418964232774552,0.76295482834051687,0.14312549659789151,0.23684210526315788,0.21052631578947367,0.41666666666666669,0.57894736842105265
