dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,0,46,IDENTITY_RESIDUAL_CARRY,0.6100000000000001,0.60902255639097747,0.60999999999999999,0.88308031004919951,0.57195180663984491,0.20901152986568983,0.56000000000000005,0.66000000000000003
openbmi,chronological,0,46,PAST_PROTOTYPE_DIRECT,0.60000000000000009,0.59935897435897445,0.59999999999999998,0.86217594634609029,0.56485794776606113,0.19198725598838684,0.56000000000000005,0.64000000000000001
openbmi,chronological,0,46,POPULATION_ONLY,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.63338844924067106,0.44147028758698292,0.080246183607937921,0.64000000000000001,0.69999999999999996
openbmi,chronological,0,46,FULL_RIDGE_TRANSFER,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.634496816181919,0.44249341892338206,0.078133131494548175,0.64000000000000001,0.69999999999999996
openbmi,chronological,0,46,ENROLLMENT_PCA_TRANSFER,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.63441738791431546,0.44241894144893928,0.078350555852654685,0.64000000000000001,0.69999999999999996
openbmi,chronological,0,46,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.63338844924067106,0.44147028758698292,0.080246183607937921,0.64000000000000001,0.69999999999999996
openbmi,chronological,1,16,LRCM,0.6100000000000001,0.60807958999095568,0.60999999999999999,0.66168387784036953,0.46337329994787646,0.061867082478545755,0.68000000000000005,0.54000000000000004
openbmi,chronological,1,16,IDENTITY_RESIDUAL_CARRY,0.38,0.3737373737373737,0.38,1.9143980638285529,0.95837929122927601,0.46669589231349873,0.28000000000000003,0.47999999999999998
openbmi,chronological,1,16,PAST_PROTOTYPE_DIRECT,0.38,0.3737373737373737,0.38,1.9597096262719007,0.96724184401706637,0.47084892991705707,0.28000000000000003,0.47999999999999998
openbmi,chronological,1,16,POPULATION_ONLY,0.6399999999999999,0.63869931754315534,0.64000000000000001,0.653637158539777,0.45877833678852403,0.068382666761196059,0.69999999999999996,0.57999999999999996
