outer_fold,method,rank,ridge_lambda,temperature,mean_balanced_accuracy,fold_scores
0,LRCM,3,0.10000000000000001,0.5,0.6744444444444444,0.64444444444444449|0.66111111111111098|0.69999999999999996|0.69777777777777783|0.66888888888888887
0,LRCM,3,0.10000000000000001,1,0.6744444444444444,0.64444444444444449|0.66111111111111098|0.69999999999999996|0.69777777777777783|0.66888888888888887
0,LRCM,3,0.10000000000000001,2,0.6744444444444444,0.64444444444444449|0.66111111111111098|0.69999999999999996|0.69777777777777783|0.66888888888888887
0,LRCM,3,0.10000000000000001,5,0.6744444444444444,0.64444444444444449|0.66111111111111098|0.69999999999999996|0.69777777777777783|0.66888888888888887
0,LRCM,3,1,0.050000000000000003,0.67133333333333334,0.64555555555555555|0.66666666666666663|0.67555555555555558|0.69444444444444442|0.6744444444444444
0,LRCM,3,1,0.10000000000000001,0.67133333333333334,0.64555555555555555|0.66666666666666663|0.67555555555555558|0.69444444444444442|0.6744444444444444
0,LRCM,3,1,0.20000000000000001,0.67133333333333334,0.64555555555555555|0.66666666666666663|0.67555555555555558|0.69444444444444442|0.6744444444444444
0,LRCM,3,1,0.5,0.67133333333333334,0.64555555555555555|0.66666666666666663|0.67555555555555558|0.69444444444444442|0.6744444444444444
0,LRCM,3,1,1,0.67133333333333334,0.64555555555555555|0.66666666666666663|0.67555555555555558|0.69444444444444442|0.6744444444444444
0,LRCM,3,1,2,0.67133333333333334,0.64555555555555555|0.66666666666666663|0.67555555555555558|0.69444444444444442|0.6744444444444444
0,LRCM,3,1,5,0.67133333333333334,0.64555555555555555|0.66666666666666663|0.67555555555555558|0.69444444444444442|0.6744444444444444
0,LRCM,3,10,0.050000000000000003,0.68177777777777782,0.6544444444444445|0.66888888888888898|0.69111111111111112|0.71333333333333337|0.68111111111111122
0,LRCM,3,10,0.10000000000000001,0.68177777777777782,0.6544444444444445|0.66888888888888898|0.69111111111111112|0.71333333333333337|0.68111111111111122
0,LRCM,3,10,0.20000000000000001,0.68177777777777782,0.6544444444444445|0.66888888888888898|0.69111111111111112|0.71333333333333337|0.68111111111111122
0,LRCM,3,10,0.5,0.68177777777777782,0.6544444444444445|0.66888888888888898|0.69111111111111112|0.71333333333333337|0.68111111111111122
0,LRCM,3,10,1,0.68177777777777782,0.6544444444444445|0.66888888888888898|0.69111111111111112|0.71333333333333337|0.68111111111111122
0,LRCM,3,10,2,0.68177777777777782,0.6544444444444445|0.66888888888888898|0.69111111111111112|0.71333333333333337|0.68111111111111122
0,LRCM,3,10,5,0.68177777777777782,0.6544444444444445|0.66888888888888898|0.69111111111111112|0.71333333333333337|0.68111111111111122
0,LRCM,3,100,0.050000000000000003,0.69266666666666654,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71222222222222231|0.68666666666666665
0,LRCM,3,100,0.10000000000000001,0.69266666666666654,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71222222222222231|0.68666666666666665
0,LRCM,3,100,0.20000000000000001,0.69266666666666654,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71222222222222231|0.68666666666666665
0,LRCM,3,100,0.5,0.69266666666666654,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71222222222222231|0.68666666666666665
0,LRCM,3,100,1,0.69266666666666654,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71222222222222231|0.68666666666666665
0,LRCM,3,100,2,0.69266666666666654,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71222222222222231|0.68666666666666665
0,LRCM,3,100,5,0.69266666666666654,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71222222222222231|0.68666666666666665
0,LRCM,5,1.0000000000000001e-05,0.050000000000000003,0.66133333333333333,0.62222222222222223|0.65333333333333343|0.6711111111111111|0.67222222222222217|0.68777777777777782
0,LRCM,5,1.0000000000000001e-05,0.10000000000000001,0.66133333333333333,0.62222222222222223|0.65333333333333343|0.6711111111111111|0.67222222222222217|0.68777777777777782
0,LRCM,5,1.0000000000000001e-05,0.20000000000000001,0.66133333333333333,0.62222222222222223|0.65333333333333343|0.6711111111111111|0.67222222222222217|0.68777777777777782
