dataset,subject,K_per_class,draws,expected_balanced_accuracy,expected_macro_f1,balanced_accuracy_draw_sd
stieger,56,2,200,0.30116071428571428,0.28169344920258915,0.056875154724856956
stieger,56,4,200,0.32113023618538328,0.30450348102606162,0.054176497022504592
stieger,56,8,200,0.34384072249589492,0.33176529353477618,0.044064808625415945
stieger,56,16,200,0.36571293290043294,0.34932321238011532,0.043096986543052933
stieger,56,FULL_ORACLE,1,0.47917654496601858,0.46868530020703936,0
stieger,57,1,200,0.25656625375375375,0.23153911938235899,0.031116754425311553
stieger,57,2,200,0.26338888888888889,0.24668910304013028,0.034915768077253745
stieger,57,4,200,0.26764928698752227,0.25648782028466138,0.035775435845424898
stieger,57,8,200,0.27933477011494251,0.26928978702257089,0.039889463071427989
stieger,57,16,200,0.29223755411255409,0.28464616502508661,0.045485391623337243
stieger,57,FULL_ORACLE,1,0.5732574679943101,0.57980976334389989,0
stieger,58,1,200,0.26144894894894899,0.23010327320639373,0.046844874645697608
stieger,58,2,200,0.26921726190476192,0.24360312019022146,0.043457470144259408
stieger,58,4,200,0.27245543672014261,0.24914500394930739,0.047700867624618469
stieger,58,8,200,0.28278017241379311,0.25617183183986514,0.048324417453623945
stieger,58,16,200,0.29137445887445884,0.25519937722803232,0.043482538802230207
stieger,58,FULL_ORACLE,1,0.46639402560455195,0.43264803499190985,0
stieger,59,1,200,0.24065839736795622,0.21434448541292817,0.024939222928132953
stieger,59,2,200,0.23736201298701298,0.22304335847507933,0.026277104737606971
stieger,59,4,200,0.23940788338795929,0.22827420009471486,0.028502609090612058
stieger,59,8,200,0.23367225415070245,0.22371955045637829,0.032219151656352703
stieger,59,16,200,0.23247707336523127,0.22076723955617134,0.035721203221519025
stieger,59,FULL_ORACLE,1,0.47076813655761029,0.4717200223417703,0
stieger,60,1,200,0.43493337087087086,0.4210331560703271,0.093753055170354621
stieger,60,2,200,0.51637797619047621,0.50980645834000993,0.082700474509931413
stieger,60,4,200,0.60456105169340468,0.60331531536511773,0.068950737785935301
stieger,60,8,200,0.65278735632183893,0.65312085426830335,0.047308162678918471
stieger,60,16,200,0.69624188311688295,0.69740696682405146,0.045530186921818462
stieger,60,FULL_ORACLE,1,0.72670697012802277,0.72852498093058737,0
stieger,61,1,200,0.28967999249249249,0.26630690104811411,0.046034054080231847
stieger,61,2,200,0.2995922619047619,0.2881521113684129,0.045136834801234288
stieger,61,4,200,0.31885138146167558,0.31105459028694488,0.045185688399769643
stieger,61,8,200,0.34008477011494248,0.33532340161451757,0.043270714534681558
stieger,61,16,200,0.36275432900432902,0.35658149863868516,0.046518906612947157
stieger,61,FULL_ORACLE,1,0.51422475106685628,0.50088613491952505,0
stieger,62,1,200,0.25832019519519522,0.23531255471246845,0.035641256734699665
stieger,62,2,200,0.24506150793650797,0.22428845878711889,0.032094314621034861
stieger,62,4,200,0.24698195187165772,0.22591120377988561,0.032700765822704175
stieger,62,8,200,0.24877155172413792,0.22382707904005592,0.030425338972380447
stieger,62,16,200,0.24668831168831168,0.2166869388036016,0.03877036114912559
stieger,62,FULL_ORACLE,1,0.38477951635846375,0.36281819089799799,0
openbmi,1,1,200,0.52102040816326534,0.4813228529602081,0.0535828669584337
openbmi,1,2,200,0.53374999999999995,0.49366070239726939,0.060732259256094899
openbmi,1,4,200,0.54304347826086952,0.51266789186801731,0.067927102471707565
openbmi,1,8,200,0.56458333333333333,0.53967783358226551,0.073661337438538269
openbmi,1,16,200,0.57852941176470585,0.56082532782033678,0.081638831991327557
openbmi,1,FULL_ORACLE,1,0.82000000000000006,0.81934965877157762,0
openbmi,2,1,200,0.55903061224489792,0.5332707300568742,0.057440198567030261
openbmi,2,2,200,0.59531250000000002,0.58049933490262706,0.066159526125301946
openbmi,2,4,200,0.63717391304347826,0.62906772695719615,0.0770180860705727
openbmi,2,8,200,0.66428571428571426,0.65961165430448265,0.082495877467355441
openbmi,2,16,200,0.7274264705882354,0.72507981848572711,0.081311206871207617
openbmi,2,FULL_ORACLE,1,0.92999999999999994,0.92999299929993007,0
openbmi,3,1,200,0.62423469387755104,0.61002658215930694,0.088078964294791173
openbmi,3,2,200,0.64276041666666661,0.63287932007969916,0.088602750754133194
openbmi,3,4,200,0.71733695652173912,0.71294453082138143,0.092485220680413038
openbmi,3,8,200,0.75869047619047625,0.75696703630327566,0.080651210530294101
openbmi,3,16,200,0.82838235294117657,0.82758967281769236,0.081113594682404949
openbmi,3,FULL_ORACLE,1,0.96999999999999997,0.96999699969997,0
openbmi,4,1,200,0.5161734693877551,0.4761100889970642,0.04949813430246712
openbmi,4,2,200,0.5273958333333334,0.50315883983027188,0.049910824826012973
openbmi,4,4,200,0.54434782608695653,0.53239357166229018,0.055577737252218033
openbmi,4,8,200,0.55964285714285711,0.55198995975349274,0.04821341790479846
openbmi,4,16,200,0.58352941176470585,0.57980527103991131,0.051720919056337376
openbmi,4,FULL_ORACLE,1,0.87,0.86988289460514467,0
openbmi,5,1,200,0.54112244897959183,0.5123671860068878,0.054696889022994542
openbmi,5,2,200,0.56406250000000002,0.54333798717592852,0.061822384063323146
openbmi,5,4,200,0.6026086956521739,0.59156350311461514,0.070304813234060237
openbmi,5,8,200,0.64547619047619031,0.64067432222902032,0.081707902679706082
openbmi,5,16,200,0.70382352941176463,0.70106879774819664,0.081486937728242947
openbmi,5,FULL_ORACLE,1,0.89999999999999991,0.89983974358974361,0
openbmi,6,1,200,0.52352040816326528,0.48719002647052023,0.047335911876041442
openbmi,6,2,200,0.53479166666666667,0.51260924282780063,0.054146127403408573
openbmi,6,4,200,0.5575,0.54635530704666246,0.061599354186610618
openbmi,6,8,200,0.58476190476190471,0.5775129979389535,0.072875196977327014
openbmi,6,16,200,0.62124999999999997,0.61772257516476481,0.080243256113041478
openbmi,6,FULL_ORACLE,1,0.89000000000000001,0.88990091081973777,0
openbmi,7,1,200,0.52280612244897962,0.49628955019351922,0.0434608564337483
openbmi,7,2,200,0.52296874999999998,0.5066006608930792,0.045258422962712111
openbmi,7,4,200,0.52967391304347833,0.51914580259526133,0.050534917320094561
openbmi,7,8,200,0.54422619047619036,0.53739692237528569,0.052612357041788516
openbmi,7,16,200,0.57669117647058821,0.57145216722788594,0.06073021134217247
openbmi,7,FULL_ORACLE,1,0.71999999999999997,0.71999999999999997,0
openbmi,8,1,200,0.51438775510204082,0.4758787731730163,0.048504149051436914
openbmi,8,2,200,0.51546875000000003,0.48267545758484121,0.052203353129795571
openbmi,8,4,200,0.52548913043478263,0.50744534486788562,0.048507439994868347
