target,source,train_session,test_session,direction_index,direction,heldout_class,heldout_index,raw_error,action_error,gain,D_eq,D_split,D_threshold,identifiability
2,3,1test,0train,1,1test->0train,right_hand,1,9.3399112871622,7.52625810213758,1.813653185024621,0.0,0.9938391249802263,0.9938391249802263,PREDICTIVELY_IDENTIFIABLE
2,3,1test,0train,1,1test->0train,feet,2,1.7742009748844974,1.1415009382386943,0.6327000366458031,0.0,1.1798424437766852,1.1798424437766852,PREDICTIVELY_IDENTIFIABLE
2,3,1test,0train,1,1test->0train,tongue,3,9.844762249822852,10.010797771933921,-0.16603552211106987,0.0,0.8464072542069209,0.8464072542069209,PREDICTIVELY_IDENTIFIABLE
2,4,0train,1test,0,0train->1test,left_hand,0,5.891223682896093,6.324469832257432,-0.43324614936133976,0.0,0.9270954390362283,0.9270954390362283,PREDICTIVELY_IDENTIFIABLE
2,4,0train,1test,0,0train->1test,right_hand,1,3.571212258092731,3.9574994046674905,-0.3862871465747597,0.0,1.0514694722373181,1.0514694722373181,PREDICTIVELY_IDENTIFIABLE
2,4,0train,1test,0,0train->1test,feet,2,2.0278407856066702,2.210589982025623,-0.18274919641895293,0.0,0.8823664030603702,0.8823664030603702,PREDICTIVELY_IDENTIFIABLE
2,4,0train,1test,0,0train->1test,tongue,3,3.520931077463789,3.772661606346202,-0.25173052888241276,0.0,1.0251285921798823,1.0251285921798823,PREDICTIVELY_IDENTIFIABLE
2,4,1test,0train,1,1test->0train,left_hand,0,1.927832166069433,1.7381105074582917,0.18972165861114143,0.0,1.3181725865026175,1.3181725865026175,PREDICTIVELY_IDENTIFIABLE
2,4,1test,0train,1,1test->0train,right_hand,1,1.4827229439367149,1.177123641787812,0.30559930214890296,0.0,1.3968133914178715,1.3968133914178715,PREDICTIVELY_IDENTIFIABLE
2,4,1test,0train,1,1test->0train,feet,2,1.0831459146186957,0.923884818995699,0.15926109562299673,0.0,1.527642687975351,1.527642687975351,PREDICTIVELY_IDENTIFIABLE
2,4,1test,0train,1,1test->0train,tongue,3,1.754973075113432,2.067209815617844,-0.31223674050441197,0.0,1.2134730749808442,1.2134730749808442,PREDICTIVELY_IDENTIFIABLE
2,5,0train,1test,0,0train->1test,left_hand,0,1.649178859059486,1.5336641038580174,0.11551475520146859,0.0,1.5470528414265048,1.5470528414265048,PREDICTIVELY_IDENTIFIABLE
2,5,0train,1test,0,0train->1test,right_hand,1,1.6984088790734733,1.4158752352879254,0.2825336437855479,0.0,1.5117263866555501,1.5117263866555501,PREDICTIVELY_IDENTIFIABLE
2,5,0train,1test,0,0train->1test,feet,2,0.8296526158342952,1.0445894260346371,-0.21493681020034194,0.0,1.5756046413667275,1.5756046413667275,PREDICTIVELY_IDENTIFIABLE
2,5,0train,1test,0,0train->1test,tongue,3,1.713861538728938,1.7512842627780048,-0.03742272404906677,0.0,1.666160790314827,1.666160790314827,PREDICTIVELY_IDENTIFIABLE
2,5,1test,0train,1,1test->0train,left_hand,0,1.15144885942816,0.8793475983060084,0.2721012611221516,0.0,1.4380349052175727,1.4380349052175727,PREDICTIVELY_IDENTIFIABLE
2,5,1test,0train,1,1test->0train,right_hand,1,1.5669675862922243,1.2570149884631974,0.30995259782902695,0.0,1.7476006919562843,1.7476006919562843,PREDICTIVELY_IDENTIFIABLE
2,5,1test,0train,1,1test->0train,feet,2,0.9767367727810681,0.8981350397257171,0.07860173305535101,0.0,1.7842356262610706,1.7842356262610706,PREDICTIVELY_IDENTIFIABLE
2,5,1test,0train,1,1test->0train,tongue,3,1.6200466485022489,1.7078670318653462,-0.08782038336309728,0.0,1.4416397851377303,1.4416397851377303,PREDICTIVELY_IDENTIFIABLE
2,6,0train,1test,0,0train->1test,left_hand,0,3.5558090961321955,3.3808690047962484,0.17494009133594712,0.0,1.2327431414487056,1.2327431414487056,PREDICTIVELY_IDENTIFIABLE
2,6,0train,1test,0,0train->1test,right_hand,1,2.116640197787758,1.7754634067608441,0.3411767910269139,0.0,1.4017952121145203,1.4017952121145203,PREDICTIVELY_IDENTIFIABLE
2,6,0train,1test,0,0train->1test,feet,2,1.6829663222808025,1.366548191102971,0.31641813117783135,0.0,1.0090961437788015,1.0090961437788015,PREDICTIVELY_IDENTIFIABLE
