target,source,train_session,test_session,heldout_class,permutation_index,gain
2,4,1test,0train,feet,2,0.2335245425165603
2,4,1test,0train,feet,3,0.3590387564379476
2,4,1test,0train,feet,4,0.32714727325169146
2,4,1test,0train,tongue,0,-0.4476837589478784
2,4,1test,0train,tongue,1,-0.3697367603573962
2,4,1test,0train,tongue,2,-0.10887678517811361
2,4,1test,0train,tongue,3,-0.4467111175462768
2,4,1test,0train,tongue,4,-0.1168010479429793
2,5,0train,1test,left_hand,0,0.20352147688851452
2,5,0train,1test,left_hand,1,0.014537744389549134
2,5,0train,1test,left_hand,2,-0.015763713270545265
2,5,0train,1test,left_hand,3,0.19740377035570367
2,5,0train,1test,left_hand,4,-0.024202506076185015
2,5,0train,1test,right_hand,0,0.5226329988870837
2,5,0train,1test,right_hand,1,0.07088213976129731
2,5,0train,1test,right_hand,2,0.09513179988258669
2,5,0train,1test,right_hand,3,0.03694797083862733
2,5,0train,1test,right_hand,4,-0.17185780684165208
2,5,0train,1test,feet,0,-0.08082638134738296
2,5,0train,1test,feet,1,-0.22010659575886438
2,5,0train,1test,feet,2,-0.1500386253169823
2,5,0train,1test,feet,3,-0.0516218848489115
2,5,0train,1test,feet,4,-0.18268735434063887
2,5,0train,1test,tongue,0,0.1707426340618592
2,5,0train,1test,tongue,1,-0.05125572313274818
2,5,0train,1test,tongue,2,0.12741677343358138
2,5,0train,1test,tongue,3,0.12993702587707623
2,5,0train,1test,tongue,4,0.0948960722578438
2,5,1test,0train,left_hand,0,0.2205450791011574
2,5,1test,0train,left_hand,1,-0.5518885960337319
2,5,1test,0train,left_hand,2,-0.5294102456091485
2,5,1test,0train,left_hand,3,-0.1080335692878236
2,5,1test,0train,left_hand,4,-0.2210471134302785
2,5,1test,0train,right_hand,0,0.45376084789624915
2,5,1test,0train,right_hand,1,0.19054412400337073
2,5,1test,0train,right_hand,2,0.0014257732285689606
2,5,1test,0train,right_hand,3,0.5190082455497216
2,5,1test,0train,right_hand,4,0.10877191942586606
2,5,1test,0train,feet,0,0.023919316149264902
2,5,1test,0train,feet,1,0.10084912966030402
2,5,1test,0train,feet,2,0.05742266172049393
2,5,1test,0train,feet,3,0.08426869000072756
2,5,1test,0train,feet,4,0.04136528240075299
2,5,1test,0train,tongue,0,-0.30584523564587607
2,5,1test,0train,tongue,1,-0.04239315042211089
2,5,1test,0train,tongue,2,-0.12170764625392128
2,5,1test,0train,tongue,3,-0.08700427719091475
2,5,1test,0train,tongue,4,0.07175977907774378
2,6,0train,1test,left_hand,0,0.16292193291281754
2,6,0train,1test,left_hand,1,0.1406279527267027
2,6,0train,1test,left_hand,2,0.07479118617482872
2,6,0train,1test,left_hand,3,-0.04152857483304384
2,6,0train,1test,left_hand,4,0.20837301909775086
2,6,0train,1test,right_hand,0,0.3871632323633296
2,6,0train,1test,right_hand,1,-0.15416710531894795
2,6,0train,1test,right_hand,2,-0.19851785770549935
2,6,0train,1test,right_hand,3,-0.07183744631823297
2,6,0train,1test,right_hand,4,-0.18334976935870761
2,6,0train,1test,feet,0,0.3152238367804021
2,6,0train,1test,feet,1,0.2936473458808446
2,6,0train,1test,feet,2,0.4245095061816362
2,6,0train,1test,feet,3,0.43135749351235964
2,6,0train,1test,feet,4,0.37710996372692307
2,6,0train,1test,tongue,0,0.09783184481674612
2,6,0train,1test,tongue,1,0.2516724168937883
2,6,0train,1test,tongue,2,-0.03132040751557774
2,6,0train,1test,tongue,3,0.006861218418908077
2,6,0train,1test,tongue,4,-0.1506778256810648
2,6,1test,0train,left_hand,0,-0.12176726194402665
2,6,1test,0train,left_hand,1,-0.3985476725640211
2,6,1test,0train,left_hand,2,-0.30728120287143224
2,6,1test,0train,left_hand,3,-0.5226294464471133
2,6,1test,0train,left_hand,4,-0.11116027089553038
2,6,1test,0train,right_hand,0,-0.19992323238416643
2,6,1test,0train,right_hand,1,-0.7203334526841734
2,6,1test,0train,right_hand,2,-0.13447534944755835
2,6,1test,0train,right_hand,3,-0.5854239440672768
2,6,1test,0train,right_hand,4,0.2958242901541621
2,6,1test,0train,feet,0,0.13951527065587077
2,6,1test,0train,feet,1,0.11298654308885026
2,6,1test,0train,feet,2,0.22116748347731152
2,6,1test,0train,feet,3,0.17624446622191725
2,6,1test,0train,feet,4,0.23500782712331725
2,6,1test,0train,tongue,0,-0.2367798197190525
2,6,1test,0train,tongue,1,-0.5351109687431421
2,6,1test,0train,tongue,2,-0.12417702889438909
2,6,1test,0train,tongue,3,-0.44581500164941135
2,6,1test,0train,tongue,4,-0.2050672838986105
2,7,0train,1test,left_hand,0,1.2142449517369602
2,7,0train,1test,left_hand,1,0.12630816414872026
2,7,0train,1test,left_hand,2,-0.04151643902592461
2,7,0train,1test,left_hand,3,0.5069609610793959
2,7,0train,1test,left_hand,4,0.7084779767401859
2,7,0train,1test,right_hand,0,2.0638562494484947
2,7,0train,1test,right_hand,1,0.7846259868879795
2,7,0train,1test,right_hand,2,0.5497647909569192
2,7,0train,1test,right_hand,3,0.9897825152545092
2,7,0train,1test,right_hand,4,-0.09880073123125044
2,7,0train,1test,feet,0,1.72342523650272
2,7,0train,1test,feet,1,1.212929450456386
2,7,0train,1test,feet,2,1.7392066317433637
2,7,0train,1test,feet,3,1.7059515861933205
2,7,0train,1test,feet,4,1.7051229436306625
2,7,0train,1test,tongue,0,0.31217753212010635
2,7,0train,1test,tongue,1,0.17060469627846864
2,7,0train,1test,tongue,2,0.5104827534545926
