target,source,session,session_index,heldout_class,heldout_index,permutation_index,permutation,raw_error,action_error,gain
8,2,1test,1,feet,2,3,2|0|1,3.0394373286781353,1.8797475473442125,1.1596897813339229
8,2,1test,1,feet,2,4,2|1|0,3.0394373286781353,1.5045549492050942,1.534882379473041
8,2,1test,1,tongue,3,0,0|2|1,1.5336566848593212,1.4996798623021308,0.03397682255719037
8,2,1test,1,tongue,3,1,1|0|2,1.5336566848593212,1.4701497099723184,0.06350697488700274
8,2,1test,1,tongue,3,2,1|2|0,1.5336566848593212,1.4648353953276918,0.06882128953162936
8,2,1test,1,tongue,3,3,2|0|1,1.5336566848593212,1.4641006229535363,0.0695560619057849
8,2,1test,1,tongue,3,4,2|1|0,1.5336566848593212,1.4552993475808969,0.07835733727842431
8,3,0train,0,left_hand,0,0,0|2|1,0.6722182613034973,0.8575358941753237,-0.18531763287182645
8,3,0train,0,left_hand,0,1,1|0|2,0.6722182613034973,0.7697337692412259,-0.09751550793772867
8,3,0train,0,left_hand,0,2,1|2|0,0.6722182613034973,0.7666613018364979,-0.09444304053300068
8,3,0train,0,left_hand,0,3,2|0|1,0.6722182613034973,0.7841910053767325,-0.11197274407323521
8,3,0train,0,left_hand,0,4,2|1|0,0.6722182613034973,0.5682055449050317,0.10401271639846554
8,3,0train,0,right_hand,1,0,0|2|1,1.50028387806668,1.0684968419800194,0.4317870360866607
8,3,0train,0,right_hand,1,1,1|0|2,1.50028387806668,0.7989901642732388,0.7012937137934413
8,3,0train,0,right_hand,1,2,1|2|0,1.50028387806668,0.866780750620417,0.633503127446263
8,3,0train,0,right_hand,1,3,2|0|1,1.50028387806668,1.0165894938811901,0.48369438418548993
8,3,0train,0,right_hand,1,4,2|1|0,1.50028387806668,1.0837706371052724,0.4165132409614076
8,3,0train,0,feet,2,0,0|2|1,1.6718344205135083,1.8569152771336699,-0.1850808566201616
8,3,0train,0,feet,2,1,1|0|2,1.6718344205135083,2.2635522581709258,-0.5917178376574175
8,3,0train,0,feet,2,2,1|2|0,1.6718344205135083,1.6506130111374022,0.02122140937610606
