target,source,session,session_index,heldout_class,heldout_index,raw_error,action_error,gain,half_A_raw_error,half_A_action_error,half_A_gain,half_B_raw_error,half_B_action_error,half_B_gain,D_eq,D_split,D_threshold,prediction_normalization,equivalent_prediction_count,identifiability,best_objective,best_gradient_norm,best_determinant
8,1,1test,1,left_hand,0,0.7139702363893575,0.7815880644748778,-0.0676178280855203,0.5438549162896192,0.680901642804415,-0.13704672651479577,1.1441719253753353,1.034249989632454,0.10992193574288134,0.0,0.9203466378531985,0.9203466378531985,1.100551610586033,1,PREDICTIVELY_IDENTIFIABLE,2.2701245929463023,7.546769076707117e-08,-1.0000000000000064
8,1,1test,1,right_hand,1,2.4475932099701034,2.8913054273653,-0.4437122173951966,2.189193678267017,2.4276767335089775,-0.23848305524196034,2.721131108876626,3.834822093659498,-1.1136909847828718,0.0,0.9743128775174453,0.9743128775174453,1.3174556102204773,1,PREDICTIVELY_IDENTIFIABLE,1.615279831778616,2.1106400071466486e-06,-1.0000000000000024
8,1,1test,1,feet,2,6.560447758205583,6.9825428556535725,-0.4220950974479898,6.317587063628841,6.579289104512897,-0.2617020408840558,5.971384458682764,6.341209316461547,-0.3698248577787826,0.0,0.7257337105387273,0.7257337105387273,0.9923476345788157,1,PREDICTIVELY_IDENTIFIABLE,1.4344391877905474,1.3625282833588896e-06,1.0000000000000004
8,1,1test,1,tongue,3,0.6517793237305206,0.4909568005233197,0.16082252320720092,0.47347504871601426,0.4732612426265551,0.00021380608945914537,1.0410029066666293,0.658564332642318,0.38243857402431136,0.0,0.7393182244442796,0.7393182244442796,1.2448871329029232,1,PREDICTIVELY_IDENTIFIABLE,2.293888928175204,5.2951031805861625e-06,0.9999999999999932
8,2,0train,0,left_hand,0,0.9033414414823695,1.0072601132219985,-0.10391867173962899,0.8390038054919808,0.8769461778082361,-0.0379423723162553,1.1399875450182821,0.9861108777775138,0.15387666724076832,0.0,1.4984351000164726,1.4984351000164726,0.32869199449598274,1,PREDICTIVELY_IDENTIFIABLE,2.4741196700969605,5.481661887130676e-08,1.0000000000000042
8,2,0train,0,right_hand,1,1.0039122897834039,1.0506456285493688,-0.04673333876596497,1.1331353304815657,1.112671557449189,0.020463773032376675,0.9985951332396434,0.8930697012002858,0.1055254320393576,0.0,1.5438670157687293,1.5438670157687293,0.3510860669271504,1,PREDICTIVELY_IDENTIFIABLE,2.6604238735981895,4.917166849001612e-07,0.999999999999999
8,2,0train,0,feet,2,3.4712738339774916,2.5580603231398866,0.9132135108376049,3.8284176617885786,2.6904894133534136,1.137928248435165,2.88434164015676,2.0079373233402853,0.8764043168164748,0.0,1.1124463382899152,1.1124463382899152,0.6734734015407018,1,PREDICTIVELY_IDENTIFIABLE,2.4271812593156388,1.6301185111170363e-07,1.0000000000000064
8,2,0train,0,tongue,3,1.1361438100107097,1.0712742310897112,0.06486957892099854,1.1414072184099737,1.0667405552776528,0.07466666313232095,1.180316697151627,1.0376928892220934,0.14262380792953366,0.0,1.244518350077402,1.244518350077402,0.4199601113442726,1,PREDICTIVELY_IDENTIFIABLE,1.3656106581326246,3.854611723816065e-06,-0.9999999999999964
8,2,1test,1,left_hand,0,1.3667629791780374,1.3449094125720822,0.021853566605955166,1.7268966833576984,1.5839641648626448,0.14293251849505362,1.1028924063678385,1.0563878784230665,0.046504527944772,0.0,1.392830266603826,1.392830266603826,0.386597550054466,1,PREDICTIVELY_IDENTIFIABLE,2.199464119989378,2.0788401631112112e-08,0.9999999999999966
8,2,1test,1,right_hand,1,0.9183970941305655,0.8630640266556167,0.055333067474948816,0.9913732069824773,0.9720270895698151,0.019346117412662234,0.9757789915173609,0.9065990422234873,0.06917994929387361,0.0,1.475339919318053,1.475339919318053,0.3093068910204541,1,PREDICTIVELY_IDENTIFIABLE,2.911655839026294,2.5693454845822042e-06,-0.9999999999999948
8,2,1test,1,feet,2,3.0394373286781353,1.7040195475910884,1.335417781087047,2.9821082674079613,1.770183869105783,1.2119243983021784,2.9298640951102777,1.8743661080598706,1.055497987050407,0.0,1.3617880030504195,1.3617880030504195,0.531979946072673,1,PREDICTIVELY_IDENTIFIABLE,2.959823053493822,1.0777190785945128e-06,-1.0000000000000016
8,2,1test,1,tongue,3,1.5336566848593212,1.495499060072852,0.038157624786469224,1.7305801043279205,1.6455007031839683,0.08507940114395218,1.3861760226466744,1.253849818959659,0.13232620368701542,0.0,1.0566845933912339,1.0566845933912339,0.49238033642992546,1,PREDICTIVELY_IDENTIFIABLE,1.5173218951536667,6.295074162018825e-07,-0.9999999999999998
8,3,0train,0,left_hand,0,0.6722182613034973,0.5376234019503551,0.1345948593531422,0.6886075651048444,0.48927706698442,0.19933049812042447,0.9430354296937727,0.7162887028735397,0.226746726820233,0.0,0.8659404703424478,0.8659404703424478,1.0215341964572233,1,PREDICTIVELY_IDENTIFIABLE,0.9291861050460872,6.5603558948591466e-06,1.0000000000000018
8,3,0train,0,right_hand,1,1.50028387806668,0.9083353358557154,0.5919485422109647,1.7996381114214008,1.009958207457654,0.7896799039637468,1.290870129586245,0.7933855343778518,0.4974845952083933,0.0,1.0785853660775815,1.0785853660775815,0.994223603039369,1,PREDICTIVELY_IDENTIFIABLE,0.895761443919595,2.6259497025892953e-08,0.999999999999999
8,3,0train,0,feet,2,1.6718344205135083,1.862334704884805,-0.19050028437129662,2.1617511233769093,2.3280244711219487,-0.16627334774503932,1.3440128124705903,1.7781047901626024,-0.434091977692012,0.0,1.1935295855872927,1.1935295855872927,0.6154216224351956,1,PREDICTIVELY_IDENTIFIABLE,0.7017250734329763,5.494391053346215e-07,-1.0000000000000004
8,3,0train,0,tongue,3,0.35804282513068675,0.26488628309165335,0.0931565420390334,0.3861612025595503,0.22792673441362354,0.15823446814592673,0.47738889905356574,0.36338724371916586,0.11400165533439988,0.0,0.7562795402765402,0.7562795402765402,1.1571992184447015,1,PREDICTIVELY_IDENTIFIABLE,0.9201914123438117,2.2819214382262617e-06,-1.0000000000000047
8,3,1test,1,left_hand,0,0.5566400548077564,0.5161057730963304,0.040534281711425924,0.616302764952559,0.5793447867086289,0.0369579782439301,0.6400334819217143,0.5360170479859845,0.10401643393572979,0.0,0.8213412077992581,0.8213412077992581,0.9616435125793579,1,PREDICTIVELY_IDENTIFIABLE,0.9793706394669739,7.782263267956417e-08,-1.0000000000000093
8,3,1test,1,right_hand,1,2.074402428822539,1.8558982219483364,0.21850420687420247,2.25846914470567,1.8230066735949901,0.4354624711106798,1.923291128976436,1.68995602615255,0.23333510282388614,0.0,0.8950668431475004,0.8950668431475004,1.0931970801625557,1,PREDICTIVELY_IDENTIFIABLE,0.6921893218127527,2.2214254637533657e-06,1.000000000000003
8,3,1test,1,feet,2,2.490268212222716,2.6911983668913946,-0.20093015466867836,2.981838954160406,2.663644563277617,0.3181943908827889,2.0743095392352626,2.5809410788589275,-0.5066315396236649,0.0,1.1007591885577157,1.1007591885577157,0.6522962880137925,1,PREDICTIVELY_IDENTIFIABLE,0.8447553141990152,8.62977287227553e-06,0.999999999999988
8,3,1test,1,tongue,3,0.5700979510710508,0.38765774016524657,0.1824402109058042,0.5416170977490098,0.42001245625898315,0.12160464149002664,0.7090378599581209,0.43529215511889946,0.2737457048392214,0.0,0.6410937599028453,0.6410937599028453,1.1822752681469038,1,PREDICTIVELY_IDENTIFIABLE,0.9755702377364951,7.171237533026072e-08,1.0000000000000027
8,4,0train,0,left_hand,0,0.5348981660428516,0.6307404611722028,-0.09584229512935127,0.6616093144572963,0.7190567832731494,-0.05744746881585305,0.7236615740132456,0.6922803289217365,0.03138124509150908,0.0,1.1889054086107793,1.1889054086107793,0.4445327966327552,1,PREDICTIVELY_IDENTIFIABLE,1.5251086707368708,7.539147937545342e-06,1.0000000000000007
8,4,0train,0,right_hand,1,0.682437056162866,0.7512245332093106,-0.06878747704644461,0.8049630481833332,0.8095609110892603,-0.004597862905927119,0.7232677724941821,0.8017956457837433,-0.07852787328956123,0.0,1.3888168891134705,1.3888168891134705,0.33698653572500853,1,PREDICTIVELY_IDENTIFIABLE,1.549124772303033,1.105835265843844e-07,1.0000000000000029
8,4,0train,0,feet,2,1.5084368668027979,1.570452434378996,-0.062015567576198194,1.2760865851586258,1.1972463027063156,0.07884028245231023,1.8579207751221292,1.731464958611731,0.12645581651039817,0.0,1.6225910000453472,1.6225910000453472,0.3341941131321398,1,PREDICTIVELY_IDENTIFIABLE,1.4666146012757966,1.2005573810666276e-07,-1.0000000000000002
8,4,0train,0,tongue,3,0.6492004167659586,0.6529220742435742,-0.0037216574776155475,0.7283524312500009,0.7094174187091676,0.018935012540833296,0.6379480934430798,0.5827287200272933,0.05521937341578653,0.0,1.1106265354839107,1.1106265354839107,0.3883240593836108,1,PREDICTIVELY_IDENTIFIABLE,0.849447191228424,1.532706325056855e-07,1.000000000000001
