dataset,geometry,template,split,subject,session,Rbar_frobenius_norm
BNCI2014_001,LE,pooled_session,F,5,0train,3.2109377347659035e-13
BNCI2014_001,LE,pooled_session,F,5,1test,3.2653335707532091e-13
BNCI2014_001,LE,pooled_session,F,6,0train,3.3104740842470459e-13
BNCI2014_001,LE,pooled_session,F,6,1test,2.6917453591169745e-13
BNCI2014_001,LE,pooled_session,F,7,0train,2.9288193234474513e-13
BNCI2014_001,LE,pooled_session,F,7,1test,3.2949248153351601e-13
BNCI2014_001,LE,pooled_session,F,8,0train,4.5007563543596061e-13
BNCI2014_001,LE,pooled_session,F,8,1test,4.3361772635271109e-13
BNCI2014_001,LE,pooled_session,F,9,0train,4.0631071591415266e-13
BNCI2014_001,LE,pooled_session,F,9,1test,2.7680708066816623e-13
