subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
26,4,8,-0.086521658313257629,-0.20494030906857291,-0.14573098369091528
27,5,8,-0.0020392854144179427,0.024192316643042638,0.011076515614312348
28,5,8,-0.050593517728730095,-0.059367726969847656,-0.054980622349288875
29,1,8,-0.002680959218523099,-0.10014850384656182,-0.05141473153254246
30,1,8,0.21155500059161131,0.26840803427881416,0.23998151743521273
31,0,8,0.050709304870390715,-0.31554182886374793,-0.13241626199667861
32,3,8,0.39228069031425733,0.42792542456289495,0.41010305743857611
33,4,8,0.12146671148248436,0.071108593285475863,0.096287652383980113
34,5,8,-0.22098944196931639,-0.32958882739260725,-0.27528913468096183
35,4,8,0.34841062970052106,0.078842958674866251,0.21362679418769365
36,1,8,0.38564039853493504,0.53828107778172962,0.46196073815833233
37,0,8,-0.60324758814136759,-0.57389764929484866,-0.58857261871810818
38,1,8,0.45541830362537955,0.51515517331079064,0.48528673846808512
39,3,8,-0.085918222685967216,-0.060891213457949844,-0.07340471807195853
40,2,8,0.16974249171486891,0.43198216822327007,0.30086232996906948
41,3,8,-0.337055399868885,-0.31667122467301612,-0.32686331227095056
42,2,8,-0.095180762335530564,-0.21012144323986487,-0.15265110278769772
43,0,8,0.00039127401119277982,-0.025281355291833188,-0.012445040640320204
44,5,8,-0.31495652059451934,-0.071539764997948257,-0.19324814279623381
45,0,8,0.17227497312431067,0.25033375292156801,0.21130436302293934
46,0,8,0.00018835756753772526,0.0078886823030114434,0.0040385199352745843
47,5,8,-0.065725285879809137,-0.071723847655229628,-0.068724566767519382
48,5,8,-0.035759736964066154,0.047929898329977308,0.0060850806829555772
49,1,8,-0.42814592952572572,-0.19920331730056012,-0.31367462341314289
50,2,8,0.042365013545954816,-0.049718287592414756,-0.00367663702322997
51,1,8,-0.30710919873585329,-0.5000163204208784,-0.40356275957836585
52,1,8,0.029210731909339469,0.08367805183213714,0.056444391870738304
53,4,8,0.13653338373390883,0.15367545183675477,0.14510441778533179
54,1,8,0.056708881715874092,0.14020405532404978,0.09845646851996194
1,2,13,0.15598469299036816,0.32107004816049145,0.2385273705754298
2,3,13,-0.067876802017705101,-0.24998171483477322,-0.15892925842623917
3,4,13,-0.14139634248816729,-0.1229693877211471,-0.13218286510465721
4,0,13,-0.17193510126485578,-0.24723170978000322,-0.20958340552242949
5,5,13,-0.11537025974644212,-0.056830674143681661,-0.08610046694506189
