subject,outer_fold,session,delta_forward,delta_reverse,delta_average
22,4,1,0.17738733100753221,0.23965462712556121,0.20852097906654671
23,4,1,0.33201036085103991,0.46014189612457146,0.39607612848780571
24,5,1,0.2519188639965243,0.42655055653741675,0.3392347102669705
25,3,1,0.46005455747853763,0.44946953872486328,0.45476204810170046
26,4,1,0.64841741037373768,0.30380844746814017,0.47611292892093893
27,5,1,0.36922508691246125,0.55891462277399373,0.46406985484322749
28,5,1,0.52256430290488076,0.57893867385205622,0.55075148837846855
29,1,1,1.0329485310849671,1.082192365735319,1.0575704484101429
30,1,1,0.037547550616724601,0.12781777063083863,0.082682660623781615
31,0,1,0.37691010360208621,0.30605037443188021,0.34148023901698321
32,3,1,1.0358470328846574,0.92964313866467463,0.98274508577466602
33,4,1,0.18735574517457998,0.22857557782805615,0.20796566150131807
34,5,1,0.16783350225261845,-0.045934953019301963,0.060949274616658243
35,4,1,0.50950204259848553,0.50369106085007354,0.50659655172427953
36,1,1,1.2844265837907516,1.2470918099231465,1.265759196856949
37,0,1,0.8119790233044526,0.84858607256503304,0.83028254793474288
38,1,1,0.19453642060484388,0.25232582890407101,0.22343112475445745
39,3,1,-0.7273704576624771,-0.49081874562344457,-0.60909460164296081
40,2,1,0.34044376510930963,0.381753813411291,0.36109878926030031
41,3,1,0.31649461100734089,0.27879860198857292,0.29764660649795693
42,2,1,0.24429051484899611,0.18687733320110053,0.21558392402504833
43,0,1,0.37278403255311943,0.3970905392474669,0.38493728590029319
44,5,1,0.96235239926494187,1.0240938148230616,0.99322310704400174
45,0,1,0.70219241759578122,0.77791313237987414,0.74005277498782762
46,0,1,0.34745733583893257,0.3604776972852935,0.353967516562113
47,5,1,0.43860097194558939,0.55855353353353632,0.49857725273956288
48,5,1,0.55412923290240002,0.68694862892680908,0.62053893091460455
49,1,1,0.23248506732936958,0.30786850296122364,0.27017678514529664
50,2,1,0.28953255715467802,0.16268676542470437,0.22610966128969118
51,1,1,0.16879860547243764,0.13289308885342527,0.15084584716293145
52,1,1,0.53818253498194391,0.38566817186815655,0.46192535342505026
53,4,1,-0.089384529082400632,0.25931929598334175,0.084967383450470557
54,1,1,-0.27891075743195193,-0.26579471345331768,-0.27235273544263483
