subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
10,0,8,0.038476870682002326,0.03607254449567876,0.037274707588840543
11,0,8,0.080810468142626726,0.070598905051514865,0.075704686597070803
12,3,8,0.13813909995726631,0.087052537155030321,0.11259581855614831
13,3,8,-0.038291985916703061,-0.011862948393929634,-0.025077467155316349
14,2,8,-0.042669541755279816,0.01589896951333275,-0.013385286120973533
15,4,8,0.094546721847909965,0.12725940338157712,0.11090306261474354
16,1,8,0.075328497225669797,0.1289831941798639,0.10215584570276684
17,2,8,-0.2695344123963162,-0.30864500093122665,-0.28908970666377143
18,0,8,0.45710834646871745,0.48120410986624274,0.46915622816748009
19,2,8,0.12416771433961946,0.088157544596140447,0.10616262946787995
20,3,8,0.067017046026340524,0.01038000093600551,0.038698523481173017
21,3,8,0.55960591066153342,0.57879487464133295,0.56920039265143318
22,4,8,-0.084714609187772544,-0.092719035616037046,-0.088716822401904788
23,4,8,0.0067241113385306736,0.050117812199100699,0.028420961768815686
24,5,8,0.23598380198178262,0.11578815360559092,0.17588597779368675
25,3,8,-0.0055234060836070412,0.0090269396513853791,0.0017517667838891689
26,4,8,-0.062575987182486109,0.066432557434507045,0.0019282851260104678
27,5,8,0.22783251925879955,0.26707319470497937,0.24745285698188946
28,5,8,0.023011504141505185,-0.07368805878434051,-0.025338277321417663
29,1,8,9.3862938175703654,8.7410473422698534,9.0636705799201103
30,1,8,0.040170984939472833,-0.012844313683964121,0.013663335627754356
31,0,8,-0.079740622304605144,0.012546429242685318,-0.033597096530959915
32,3,8,1.8185067802080654,2.1245529987038254,1.9715298894559454
33,4,8,0.46035673716205178,0.57282886347734496,0.51659280031969834
34,5,8,-0.024994942357558371,-0.015209257711644317,-0.020102100034601344
35,4,8,0.11451706252723072,0.1112586813398761,0.1128878719335534
36,1,8,3.6361878642268954,3.4567880467671572,3.5464879554970263
37,0,8,0.49555763259034163,0.35877483494589535,0.42716623376811846
38,1,8,0.038584255720605552,0.12653360902129593,0.082558932370950744
39,3,8,-0.046052653217912486,-0.051494758137540397,-0.048773705677726445
40,2,8,0.074451442704410842,0.1009755279615816,0.087713485332996222
41,3,8,0.050908373269927906,0.044279180690444495,0.0475937769801862
42,2,8,0.18809527142753535,0.18138407351645089,0.18473967247199313
43,0,8,-0.11714031849929366,-0.13312125304601871,-0.12513078577265618
44,5,8,1.0409053372223798,0.99626343537252304,1.0185843862974515
45,0,8,0.24731324609116051,0.35481819630412681,0.30106572119764363
46,0,8,0.33392480525098334,0.28191781675868233,0.30792131100483283
47,5,8,0.12129246434795102,0.066700534348363982,0.0939964993481575
48,5,8,0.091117187661007973,0.048473843134691219,0.069795515397849589
49,1,8,0.062282922623032227,0.049167298716589126,0.055725110669810674
50,2,8,0.23376412390718534,0.17608475764886164,0.20492444077802349
51,1,8,0.016542206940301007,-0.043925828334022983,-0.013691810696860988
52,1,8,0.07140902567526268,0.014914235095301903,0.043161630385282292
53,4,8,-0.053084058016587797,-0.062366437973072307,-0.057725247994830052
54,1,8,0.056366580134924002,0.1275020106156905,0.091934295375307257
1,2,13,0.11953635312820507,0.20897859308651096,0.164257473107358
2,3,13,0.020594798680051242,-0.06242256069027368,-0.020913881005111219
3,4,13,0.82294849754681321,0.59702261051783045,0.70998555403232189
4,0,13,-0.035249701169196471,0.0031882081909676068,-0.016030746489114431
5,5,13,0.12022805813196558,0.12879036547567713,0.12450921180382135
6,5,13,0.076196379746935161,0.230348379213899,0.15327237948041708
7,4,13,-0.054671822090775798,-0.10937542530862544,-0.082023623699700621
8,2,13,0.016558725501432787,0.027544329568090758,0.022051527534761771
9,2,13,0.10048191018956096,0.099244717831805274,0.099863314010683116
10,0,13,0.13178777326778751,0.11652501810402344,0.12415639568590547
11,0,13,0.11293303569222536,0.081972761298462885,0.097452898495344123
12,3,13,0.056325407653171955,0.025609998902587618,0.040967703277879783
13,3,13,-0.060915726634889443,-0.035883013074289462,-0.048399369854589452
14,2,13,0.024356027796842712,0.0307165165154673,0.027536272156155006
15,4,13,-0.12876521914928168,-0.062044827802396327,-0.095405023475839013
16,1,13,-0.045623300632227082,0.028405294951847786,-0.008609002840189648
17,2,13,-0.099996805507797784,-0.078588374454128002,-0.0892925899809629
18,0,13,0.37063001705244192,0.32099661334506097,0.34581331519875147
19,2,13,0.12396667744394797,0.11181745658988408,0.11789206701691603
20,3,13,0.17028877685589935,0.20788179912828977,0.18908528799209456
21,3,13,0.68081480467651057,0.77921096230133546,0.73001288348892301
22,4,13,-0.066004653207943714,-0.042198170323797177,-0.054101411765870445
23,4,13,0.048988308805816679,0.029336281162487356,0.039162294984152017
24,5,13,0.051874446701570952,0.057853809864167396,0.054864128282869171
25,3,13,-0.013272178745268752,0.023193827013783287,0.0049608241342572676
26,4,13,0.064008028473951248,0.093559246114181732,0.078783637294066483
27,5,13,0.11613888182566323,0.10389404073581515,0.11001646128073919
28,5,13,-0.015060296950774557,-0.055443893273915801,-0.035252095112345179
29,1,13,11.078390380194085,10.418697944548494,10.748544162371289
30,1,13,0.037410004314719449,0.004632001142453844,0.021021002728586646
31,0,13,-0.06217794729685764,0.0085433770271139426,-0.02681728513487185
32,3,13,1.226488615274071,1.2836679778866837,1.2550782965803773
33,4,13,0.43352362865803368,0.44545462282019799,0.4394891257391158
34,5,13,-0.19531169711951604,-0.28550236016485586,-0.24040702864218594
35,4,13,0.11572669399592619,0.12024230479601283,0.11798449939596951
36,1,13,2.6730970149852098,2.7685916575074225,2.7208443362463162
37,0,13,0.32589622803289131,0.14045903750520364,0.23317763276904746
38,1,13,-0.035231876635566262,0.03330420023213243,-0.00096383820171691559
39,3,13,0.039684484021019747,0.042435314515007982,0.041059899268013865
40,2,13,0.030947645923324368,0.00055017244573845464,0.015748909184531409
41,3,13,0.07086341739746127,0.070981615670158982,0.070922516533810126
42,2,13,0.17468266407991745,0.085153402511089563,0.1299180332955035
43,0,13,0.024945811949146912,-0.014961658709069459,0.0049920766200387268
44,5,13,0.70985373423323173,0.73785603317883341,0.72385488370603257
45,0,13,0.21525048623980464,0.26455685640940163,0.23990367132460313
