dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_left_hand,recall_right_hand
openbmi,reverse,1,16,SELECTIVE_GATE,0.41999999999999998,0.41790445604175031,0.41999999999999998,1.0452253517791286,0.73543610034014417,0.31937227671683799,0.44517567677505016,0.47999999999999998,0.35999999999999999
openbmi,reverse,1,16,GLOBAL_KAPPA,0.42999999999999999,0.42719324690985827,0.42999999999999999,0.92936175366658802,0.6715161470261245,0.24709704233700613,0.29999999999999999,0.5,0.35999999999999999
openbmi,reverse,1,16,FIXED_RELIABILITY_KAPPA,0.42000000000000004,0.41626409017713362,0.41999999999999998,0.97968359853266374,0.70072904835212768,0.27930968370977927,0.36490104100504256,0.5,0.34000000000000002
openbmi,reverse,1,16,CLASSWISE_SELECTIVE_GATE,0.45000000000000001,0.44862155388471175,0.45000000000000001,0.97940765491412118,0.69956384976806707,0.31698638972128634,0.36490104100504256,0.5,0.40000000000000002
openbmi,reverse,1,16,ORACLE_CONTINUOUS_KAPPA,0.54000000000000004,0.53535353535353536,0.54000000000000004,0.73708387678360199,0.53305552874653361,0.080317595478125087,0,0.64000000000000001,0.44
openbmi,reverse,1,16,POPULATION_ONLY,0.54000000000000004,0.53535353535353536,0.54000000000000004,0.73708387678360199,0.53305552874653361,0.080317595478125087,,0.64000000000000001,0.44
openbmi,reverse,1,16,IDENTITY_RESIDUAL_CARRY,0.39000000000000001,0.38847117794486219,0.39000000000000001,1.5679133793303015,0.92808479761415985,0.42454899028489401,,0.44,0.34000000000000002
openbmi,reverse,1,16,PAST_PROTOTYPE_DIRECT,0.39000000000000001,0.38847117794486219,0.39000000000000001,1.6162869574186565,0.93655502559626358,0.43861102354239678,,0.44,0.34000000000000002
openbmi,reverse,1,16,LRCM_HISTORICAL_CONTROL,0.42999999999999999,0.42719324690985827,0.42999999999999999,0.80149016491896063,0.59321931379585824,0.1823735260977333,,0.5,0.35999999999999999
openbmi,reverse,1,29,SELECTIVE_GATE,0.76000000000000001,0.74533106960950768,0.76000000000000001,1.8329756435624949,0.47328295561828732,0.23975425657220803,0.9999975283010647,0.52000000000000002,1
openbmi,reverse,1,29,GLOBAL_KAPPA,0.75,0.73603632140217501,0.75,0.60685052637860804,0.36208404997550347,0.15195599851726099,0.29999999999999999,0.52000000000000002,0.97999999999999998
openbmi,reverse,1,29,FIXED_RELIABILITY_KAPPA,0.76000000000000001,0.74533106960950768,0.76000000000000001,1.7890468220586611,0.47234641922560827,0.23919875383873831,0.97609754502879786,0.52000000000000002,1
openbmi,reverse,1,29,CLASSWISE_SELECTIVE_GATE,0.75,0.73603632140217501,0.75,1.7494242901224768,0.47092741508340941,0.22916508077318323,0.97609754502879786,0.52000000000000002,0.97999999999999998
