dataset,direction,subject,identity_balanced_accuracy,population_balanced_accuracy,oracle_balanced_accuracy,oracle_gain_over_identity,selected_method,oracle_recall_right_hand,identity_recall_right_hand,oracle_recall_left_hand,identity_recall_left_hand,oracle_recall_both_hand,identity_recall_both_hand,oracle_recall_rest,identity_recall_rest
stieger,reverse,44,0.3104551920341394,0.28668800379326692,0.3104551920341394,0,IDENTITY_RESIDUAL_CARRY,0.5,0.5,0.13157894736842105,0.13157894736842105,0.1891891891891892,0.1891891891891892,0.42105263157894735,0.42105263157894735
stieger,reverse,45,0.29943100995732574,0.26902560455192037,0.29943100995732574,0,IDENTITY_RESIDUAL_CARRY,0.26315789473684209,0.26315789473684209,0.1891891891891892,0.1891891891891892,0.42105263157894735,0.42105263157894735,0.32432432432432434,0.32432432432432434
stieger,reverse,46,0.36454678362573101,0.33696741854636592,0.36454678362573101,0,IDENTITY_RESIDUAL_CARRY,0.31578947368421051,0.31578947368421051,0.23684210526315788,0.23684210526315788,0.30555555555555558,0.30555555555555558,0.59999999999999998,0.59999999999999998
stieger,reverse,47,0.29463015647226176,0.24573257467994308,0.29463015647226176,0,IDENTITY_RESIDUAL_CARRY,0.43243243243243246,0.43243243243243246,0.35135135135135137,0.35135135135135137,0.23684210526315788,0.23684210526315788,0.15789473684210525,0.15789473684210525
stieger,reverse,48,0.29107396870554764,0.28733997155049784,0.29107396870554764,0,IDENTITY_RESIDUAL_CARRY,0.47368421052631576,0.47368421052631576,0.1891891891891892,0.1891891891891892,0.054054054054054057,0.054054054054054057,0.44736842105263158,0.44736842105263158
stieger,reverse,49,0.27311522048364156,0.36664295874822195,0.36664295874822195,0.093527738264580385,POPULATION_ONLY,0.15789473684210525,0.44736842105263158,0.57894736842105265,0.13157894736842105,0.13513513513513514,0.081081081081081086,0.59459459459459463,0.43243243243243246
stieger,reverse,50,0.46454678362573099,0.43457602339181289,0.46454678362573099,0,IDENTITY_RESIDUAL_CARRY,0.34210526315789475,0.34210526315789475,0.30555555555555558,0.30555555555555558,0.65789473684210531,0.65789473684210531,0.55263157894736847,0.55263157894736847
stieger,reverse,51,0.24415204678362573,0.19334795321637427,0.24415204678362573,0,IDENTITY_RESIDUAL_CARRY,0.39473684210526316,0.39473684210526316,0.055555555555555552,0.055555555555555552,0.36842105263157893,0.36842105263157893,0.15789473684210525,0.15789473684210525
stieger,reverse,52,0.35931326062905011,0.29739608029081716,0.35931326062905011,0,IDENTITY_RESIDUAL_CARRY,0.21052631578947367,0.21052631578947367,0.35135135135135137,0.35135135135135137,0.48648648648648651,0.48648648648648651,0.3888888888888889,0.3888888888888889
stieger,reverse,53,0.38655761024182078,0.45874822190611664,0.45874822190611664,0.072190611664295856,POPULATION_ONLY,0.39473684210526316,0.18421052631578946,0.56756756756756754,0.56756756756756754,0.16216216216216217,0.1891891891891892,0.71052631578947367,0.60526315789473684
stieger,reverse,54,0.22955192034139404,0.2498221906116643,0.2498221906116643,0.020270270270270258,POPULATION_ONLY,0,0.026315789473684209,0.54054054054054057,0.40540540540540543,0.026315789473684209,0,0.43243243243243246,0.48648648648648651
stieger,reverse,55,0.29392879721827092,0.38384107792002531,0.38384107792002531,0.089912280701754388,POPULATION_ONLY,0.13157894736842105,0.18421052631578946,0.3611111111111111,0.027777777777777776,0.42105263157894735,0.34210526315789475,0.6216216216216216,0.6216216216216216
stieger,reverse,56,0.37570135925399084,0.25618381539434171,0.37570135925399084,0,IDENTITY_RESIDUAL_CARRY,0.16216216216216217,0.16216216216216217,0.18421052631578946,0.18421052631578946,0.68421052631578949,0.68421052631578949,0.47222222222222221,0.47222222222222221
stieger,reverse,57,0.32734708392603129,0.33268136557610239,0.33268136557610239,0.0053342816500711043,POPULATION_ONLY,0.26315789473684209,0.23684210526315788,0.40540540540540543,0.35135135135135137,0.16216216216216217,0.40540540540540543,0.5,0.31578947368421051
stieger,reverse,58,0.26511379800853485,0.29871977240398295,0.29871977240398295,0.033605974395448102,POPULATION_ONLY,0.1891891891891892,0.13513513513513514,0.42105263157894735,0.18421052631578946,0.21621621621621623,0.16216216216216217,0.36842105263157893,0.57894736842105265
stieger,reverse,59,0.26535087719298245,0.31030701754385964,0.31030701754385964,0.044956140350877194,POPULATION_ONLY,0.083333333333333329,0.16666666666666666,0.47368421052631576,0.15789473684210525,0.21052631578947367,0.39473684210526316,0.47368421052631576,0.34210526315789475
