dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,41,PAST_PROTOTYPE_DIRECT,0.375,0.36534141248836094,0.37333333333333335,1.6346482642598741,0.83373951238564759,0.23813115112956343,,0.21052631578947367,0.26315789473684209,0.5,0.52631578947368418
stieger,chronological,0,41,LRCM_HISTORICAL_CONTROL,0.28910818713450293,0.23809178743961351,0.28666666666666668,1.4371876947589473,0.76518083805822545,0.19434393467203329,,0.10526315789473684,0.026315789473684209,0.47222222222222221,0.55263157894736847
stieger,chronological,0,48,SELECTIVE_GATE,0.24288762446657183,0.20028443973987811,0.24161073825503357,1.8899592230769267,0.90323982522148039,0.25125701713833698,0.020944850420075638,0.081081081081081086,0.052631578947368418,0.6216216216216216,0.21621621621621623
stieger,chronological,0,48,GLOBAL_KAPPA,0.33036984352773824,0.28230999930656675,0.32885906040268459,1.9943476683859538,0.86758746367714346,0.29918690404849652,0.59999999999999998,0.51351351351351349,0.10526315789473684,0.6216216216216216,0.081081081081081086
stieger,chronological,0,48,FIXED_RELIABILITY_KAPPA,0.31685633001422475,0.26672823555823588,0.31543624161073824,1.8039791611211866,0.8435281177233902,0.25504834381433988,0.42505565664479295,0.45945945945945948,0.10526315789473684,0.64864864864864868,0.054054054054054057
stieger,chronological,0,48,CLASSWISE_SELECTIVE_GATE,0.2903627311522049,0.23634036645433487,0.28859060402684567,2.005934901332695,0.87289707947787254,0.30355093560893137,0.42505565664479295,0.45945945945945948,0.026315789473684209,0.59459459459459463,0.081081081081081086
stieger,chronological,0,48,ORACLE_CONTINUOUS_KAPPA,0.35704125177809393,0.33147797174514199,0.35570469798657717,2.3634691005790387,0.90123361463355744,0.33272830119995433,0.93000000000000005,0.48648648648648651,0.15789473684210525,0.59459459459459463,0.1891891891891892
stieger,chronological,0,48,POPULATION_ONLY,0.24288762446657183,0.20028443973987811,0.24161073825503357,1.9193629828105949,0.91025942523196512,0.24431872650542955,,0.081081081081081086,0.052631578947368418,0.6216216216216216,0.21621621621621623
stieger,chronological,0,48,IDENTITY_RESIDUAL_CARRY,0.35704125177809393,0.33152863289073514,0.35570469798657717,2.4429704351450066,0.90504064145889529,0.34079922460328882,,0.48648648648648651,0.15789473684210525,0.59459459459459463,0.1891891891891892
stieger,chronological,0,48,PAST_PROTOTYPE_DIRECT,0.36379800853485067,0.33936545394707318,0.36241610738255031,2.3877443864392358,0.90041150420841765,0.33071784124640818,,0.48648648648648651,0.15789473684210525,0.59459459459459463,0.21621621621621623
stieger,chronological,0,48,LRCM_HISTORICAL_CONTROL,0.23541963015647227,0.23622795359790077,0.2348993288590604,1.4357332573226478,0.77669199734478922,0.076096211353932505,,0.21621621621621623,0.15789473684210525,0.43243243243243246,0.13513513513513514
stieger,chronological,0,56,SELECTIVE_GATE,0.21430970444128339,0.20347315975570557,0.21621621621621623,1.7073885668370283,0.85734212520249431,0.18270192338079599,0.030787724187247852,0.10810810810810811,0.1388888888888889,0.1891891891891892,0.42105263157894735
stieger,chronological,0,56,GLOBAL_KAPPA,0.39857950055318481,0.38454154880976676,0.39864864864864863,1.5137524566871703,0.72912363120594448,0.12860556491246203,0.59999999999999998,0.27027027027027029,0.30555555555555558,0.70270270270270274,0.31578947368421051
stieger,chronological,0,56,FIXED_RELIABILITY_KAPPA,0.4117373952900269,0.3986648188962354,0.41216216216216217,1.5266956495789741,0.72963304589610989,0.12474854505589145,0.61962955846219614,0.27027027027027029,0.30555555555555558,0.70270270270270274,0.36842105263157893
stieger,chronological,0,56,CLASSWISE_SELECTIVE_GATE,0.39056819977872609,0.37999156651908078,0.39189189189189189,1.6942888995740315,0.73578900661609725,0.14112929097855309,0.61962955846219614,0.21621621621621623,0.27777777777777779,0.59459459459459463,0.47368421052631576
stieger,chronological,0,56,ORACLE_CONTINUOUS_KAPPA,0.41902758021179076,0.40189956505042412,0.41891891891891891,1.4213332535334073,0.73004562823564623,0.058201063004465342,0.41000000000000003,0.32432432432432434,0.30555555555555558,0.7567567567567568,0.28947368421052633
stieger,chronological,0,56,POPULATION_ONLY,0.18033823296981191,0.16865405869599542,0.18243243243243243,1.7651161206411488,0.87682537395297944,0.23123349818170463,,0.081081081081081086,0.1111111111111111,0.10810810810810811,0.42105263157894735
stieger,chronological,0,56,IDENTITY_RESIDUAL_CARRY,0.37758811443021978,0.36965321232562615,0.3783783783783784,1.8487909385856958,0.75671104495510222,0.2004215545759849,,0.24324324324324326,0.27777777777777779,0.59459459459459463,0.39473684210526316
stieger,chronological,0,56,PAST_PROTOTYPE_DIRECT,0.37084123597281493,0.36121884150985517,0.3716216216216216,1.9050927614033994,0.76701866626946946,0.2117108356615344,,0.16216216216216217,0.30555555555555558,0.59459459459459463,0.42105263157894735
stieger,chronological,0,56,LRCM_HISTORICAL_CONTROL,0.18854709973131026,0.19106727225751058,0.1891891891891892,3.1417989473611883,1.0639842485448665,0.39186684599001453,,0.16216216216216217,0.19444444444444445,0.10810810810810811,0.28947368421052633
