protocol,subject,split,feature,confusion_matrix
P1,1,1test_to_0train,F0,"[[60, 3, 7, 2], [3, 31, 38, 0], [0, 0, 72, 0], [31, 1, 0, 40]]"
P1,1,1test_to_0train,F1,"[[50, 3, 9, 10], [2, 47, 23, 0], [0, 1, 71, 0], [27, 3, 1, 41]]"
P1,1,1test_to_0train,F2-S,"[[33, 9, 5, 25], [9, 36, 25, 2], [3, 26, 36, 7], [21, 7, 5, 39]]"
P1,1,1test_to_0train,F2-V,"[[28, 8, 5, 31], [5, 37, 27, 3], [3, 25, 40, 4], [31, 6, 5, 30]]"
P1,1,1test_to_0train,F3-G,"[[21, 19, 15, 17], [13, 34, 14, 11], [11, 32, 19, 10], [23, 9, 8, 32]]"
P1,1,1test_to_0train,F3-D,"[[25, 17, 10, 20], [15, 34, 11, 12], [14, 34, 10, 14], [30, 7, 5, 30]]"
P1,1,1test_to_0train,F2-S-SHUFFLE,"[[33, 14, 4, 21], [16, 29, 24, 3], [5, 23, 38, 6], [21, 9, 4, 38]]"
P1,1,1test_to_0train,F2-S-REVERSE,"[[33, 9, 5, 25], [9, 36, 25, 2], [3, 26, 36, 7], [21, 7, 5, 39]]"
P0,2,0train_fold0,F0,"[[13, 0, 2, 0], [1, 6, 7, 1], [2, 2, 10, 0], [3, 3, 1, 7]]"
P0,2,0train_fold0,F1,"[[13, 1, 1, 0], [1, 7, 3, 4], [1, 0, 9, 4], [2, 3, 3, 6]]"
P0,2,0train_fold0,F2-S,"[[7, 1, 4, 3], [1, 5, 4, 5], [1, 6, 5, 2], [3, 4, 2, 5]]"
P0,2,0train_fold0,F2-V,"[[3, 3, 4, 5], [4, 2, 3, 6], [2, 2, 7, 3], [2, 4, 4, 4]]"
P0,2,0train_fold0,F3-G,"[[6, 6, 1, 2], [3, 3, 8, 1], [4, 9, 1, 0], [2, 7, 2, 3]]"
P0,2,0train_fold0,F3-D,"[[4, 6, 2, 3], [2, 4, 4, 5], [4, 8, 1, 1], [2, 7, 2, 3]]"
P0,2,0train_fold0,F2-S-SHUFFLE,"[[5, 4, 2, 4], [2, 5, 2, 6], [2, 6, 3, 3], [2, 5, 4, 3]]"
P0,2,0train_fold0,F2-S-REVERSE,"[[7, 1, 4, 3], [1, 5, 4, 5], [1, 6, 5, 2], [3, 4, 2, 5]]"
P0,2,0train_fold1,F0,"[[10, 0, 2, 2], [0, 10, 1, 4], [3, 3, 7, 1], [0, 4, 0, 11]]"
P0,2,0train_fold1,F1,"[[11, 0, 2, 1], [0, 10, 0, 5], [1, 2, 9, 2], [0, 3, 2, 10]]"
P0,2,0train_fold1,F2-S,"[[6, 1, 3, 4], [2, 3, 5, 5], [2, 4, 3, 5], [3, 4, 2, 6]]"
