subject,session,permutation_index,permutation,cost,cost_rank,is_identity
8,3,9,1|2|3|0,2.3044831385137883,15,False
8,3,10,1|3|0|2,3.4819401025512002,19,False
8,3,11,1|3|2|0,1.8828202744961695,11,False
8,3,12,2|0|1|3,1.9017092438506087,14,False
8,3,13,2|0|3|1,0.7381521128649643,6,False
8,3,14,2|1|0|3,1.5570377522867838,10,False
8,3,15,2|1|3|0,2.343387989929571,16,False
8,3,16,2|3|0|1,0.5991544796130048,4,False
8,3,17,2|3|1|0,2.5490618482414367,18,False
8,3,18,3|0|1|2,3.8393666435373213,23,False
8,3,19,3|0|2|1,0.29033944685385904,1,False
8,3,20,3|1|0|2,3.4946951519734966,20,False
8,3,21,3|1|2|0,1.8955753239184658,13,False
8,3,22,3|2|0|1,0.5730046776195183,3,False
8,3,23,3|2|1|0,2.52291204624795,17,False
9,2,0,0|1|2|3,1.5026824227318432,7,True
9,2,1,0|1|3|2,0.5766331757535499,1,False
9,2,2,0|2|1|3,1.5580361843730937,8,False
9,2,3,0|2|3|1,2.172188265537405,13,False
9,2,4,0|3|1|2,0.7102012392127596,2,False
9,2,5,0|3|2|1,2.2504025673553647,16,False
9,2,6,1|0|2|3,2.87551831074218,21,False
9,2,7,1|0|3|2,1.9494690637638867,9,False
9,2,8,1|2|0|3,2.22067626939329,15,False
9,2,9,1|2|3|0,2.947571176338808,22,False
9,2,10,1|3|0|2,1.3728413242329562,5,False
9,2,11,1|3|2|0,3.025785478156767,24,False
9,2,12,2|0|1|3,2.0332624156040957,10,False
9,2,13,2|0|3|1,2.6474144967684072,20,False
9,2,14,2|1|0|3,1.3230666126139556,4,False
9,2,15,2|1|3|0,2.0499615195594734,11,False
9,2,16,2|3|0|1,2.0707867572374767,12,False
9,2,17,2|3|1|0,2.183529583018683,14,False
9,2,18,3|0|1|2,1.4789777736777574,6,False
9,2,19,3|0|2|1,3.0191791018203626,23,False
9,2,20,3|1|0|2,0.7687819706876169,3,False
9,2,21,3|1|2|0,2.421726124611428,18,False
9,2,22,3|2|0|1,2.364337060471472,17,False
9,2,23,3|2|1|0,2.4770798862526786,19,False
9,3,0,0|1|2|3,0.771505782274866,5,True
9,3,1,0|1|3|2,1.9376153556182212,11,False
9,3,2,0|2|1|3,0.4953566201265428,2,False
9,3,3,0|2|3|1,2.969666785178768,20,False
9,3,4,0|3|1|2,1.3060906876895761,8,False
9,3,5,0|3|2|1,2.614291279398446,17,False
9,3,6,1|0|2|3,1.2343685999492444,6,False
9,3,7,1|0|3|2,2.4004781732926,14,False
9,3,8,1|2|0|3,0.6562742023382078,3,False
9,3,9,1|2|3|0,3.4572102876340765,24,False
9,3,10,1|3|0|2,1.4670082699012408,9,False
9,3,11,1|3|2|0,3.1018347818537544,21,False
