session,geometry,subject,split,pi_left_hand,pi_right_hand,pi_feet,pi_tongue,balanced,anchor_energy,trace_G,anchor_fraction
0train,LE,7,F,0.25,0.25,0.25,0.25,True,1.734723475976807e-17,1.6937198106179348,1.0242092376211345e-17
0train,LE,8,A,0.25,0.25,0.25,0.25,True,2.7755575615628914e-17,3.227236976932362,8.600414476538339e-18
0train,LE,8,B,0.25,0.25,0.25,0.25,True,2.7755575615628914e-17,2.4605849740796533,1.1280071978010225e-17
0train,LE,8,F,0.25,0.25,0.25,0.25,True,-3.8163916471489756e-17,2.6895653905146126,-1.418962208767402e-17
0train,LE,9,A,0.25,0.25,0.25,0.25,True,0.0,3.4121616804230164,0.0
0train,LE,9,B,0.25,0.25,0.25,0.25,True,2.6020852139652106e-18,3.252100083158605,8.001245802490596e-19
0train,LE,9,F,0.25,0.25,0.25,0.25,True,6.938893903907228e-18,3.137500572861954,2.211599246841805e-18
1test,AIRM,1,A,0.25,0.25,0.25,0.25,True,1.1721542107330507e-05,4.9319258897338525,2.3766663103615798e-06
1test,AIRM,1,B,0.25,0.25,0.25,0.25,True,1.5904893553839172e-05,6.781831111629116,2.345221119789657e-06
1test,AIRM,1,F,0.25,0.25,0.25,0.25,True,1.0720912208050937e-05,5.4814009339863485,1.9558708325052503e-06
1test,AIRM,2,A,0.25,0.25,0.25,0.25,True,1.4364825139450907e-06,1.1025380572594026,1.3028870110078372e-06
1test,AIRM,2,B,0.25,0.25,0.25,0.25,True,1.0175172768724528e-06,0.7791129532845207,1.30599455776327e-06
1test,AIRM,2,F,0.25,0.25,0.25,0.25,True,5.895133631303841e-07,0.7705694772671852,7.650359643378112e-07
1test,AIRM,3,A,0.25,0.25,0.25,0.25,True,1.3115278881009607e-05,4.589432091499513,2.8577128105461146e-06
1test,AIRM,3,B,0.25,0.25,0.25,0.25,True,1.3696424591629758e-05,3.6789849348041983,3.7228814018937275e-06
1test,AIRM,3,F,0.25,0.25,0.25,0.25,True,8.588105403269791e-06,3.943103358390304,2.178006667006497e-06
1test,AIRM,4,A,0.25,0.25,0.25,0.25,True,1.675254848038099e-06,2.0080345088355966,8.342759253721853e-07
1test,AIRM,4,B,0.25,0.25,0.25,0.25,True,2.9525611928218898e-06,2.097562315514553,1.4076154834511302e-06
1test,AIRM,4,F,0.25,0.25,0.25,0.25,True,1.10138599651588e-06,1.905134587820811,5.781145350868366e-07
1test,AIRM,5,A,0.25,0.25,0.25,0.25,True,1.6843110673516251e-06,0.48390196174405015,3.4806865863513618e-06
1test,AIRM,5,B,0.25,0.25,0.25,0.25,True,1.5767095728883886e-06,0.5696087940730222,2.768056935381968e-06
1test,AIRM,5,F,0.25,0.25,0.25,0.25,True,6.834637710129328e-07,0.38129713418993005,1.7924702541102467e-06
1test,AIRM,6,A,0.25,0.25,0.25,0.25,True,3.806886856344083e-06,1.226567652760017,3.1036908953027124e-06
1test,AIRM,6,B,0.25,0.25,0.25,0.25,True,4.511044534595749e-06,1.1855730344409583,3.804948664949076e-06
1test,AIRM,6,F,0.25,0.25,0.25,0.25,True,1.798840501080097e-06,0.9830359086128109,1.8298828001293365e-06
1test,AIRM,7,A,0.25,0.25,0.25,0.25,True,3.1229551182721665e-06,2.6938085485029584,1.1593084890935176e-06
1test,AIRM,7,B,0.25,0.25,0.25,0.25,True,2.756140363666462e-06,2.143490364930245,1.2858188722281262e-06
1test,AIRM,7,F,0.25,0.25,0.25,0.25,True,1.602759130079831e-06,2.252957712824458,7.114022251533986e-07
1test,AIRM,8,A,0.25,0.25,0.25,0.25,True,1.6824314890834247e-05,2.9397588984133916,5.7230254154224844e-06
