subject,feature,seed,mapping_accuracy,mapping_balanced_accuracy,mapping
3,F2-V,5,0.2916666666666667,0.2916666666666666,"1,0,3,2"
3,F2-V,6,0.296875,0.296875,"1,0,2,3"
3,F2-V,7,0.2899305555555556,0.2899305555555555,"3,0,2,1"
3,F2-V,8,0.2934027777777778,0.2934027777777778,"0,2,3,1"
3,F2-V,9,0.3072916666666667,0.3072916666666667,"2,0,1,3"
3,F2-V,10,0.2864583333333333,0.2864583333333333,"0,2,3,1"
3,F2-V,11,0.3020833333333333,0.3020833333333333,"3,2,0,1"
3,F2-V,12,0.2899305555555556,0.2899305555555555,"1,3,2,0"
3,F2-V,13,0.2881944444444444,0.2881944444444444,"0,1,2,3"
3,F2-V,14,0.2916666666666667,0.2916666666666667,"0,2,3,1"
3,F2-V,15,0.28125,0.28125,"2,0,3,1"
3,F2-V,16,0.2934027777777778,0.2934027777777778,"2,1,3,0"
3,F2-V,17,0.2899305555555556,0.2899305555555556,"2,1,3,0"
3,F2-V,18,0.2934027777777778,0.2934027777777778,"0,2,3,1"
3,F2-V,19,0.2847222222222222,0.2847222222222222,"3,1,0,2"
3,F3-G,0,0.2361111111111111,0.2361111111111111,"2,3,1,0"
3,F3-G,1,0.2361111111111111,0.2361111111111111,"3,1,2,0"
3,F3-G,2,0.2361111111111111,0.2361111111111111,"2,1,0,3"
3,F3-G,3,0.2361111111111111,0.2361111111111111,"0,3,1,2"
3,F3-G,4,0.2361111111111111,0.2361111111111111,"3,2,1,0"
3,F3-G,5,0.2361111111111111,0.2361111111111111,"0,1,3,2"
3,F3-G,6,0.2361111111111111,0.2361111111111111,"0,3,1,2"
3,F3-G,7,0.2361111111111111,0.2361111111111111,"2,0,3,1"
3,F3-G,8,0.2361111111111111,0.2361111111111111,"0,3,1,2"
3,F3-G,9,0.2361111111111111,0.2361111111111111,"2,1,0,3"
3,F3-G,10,0.2361111111111111,0.2361111111111111,"1,3,2,0"
3,F3-G,11,0.2361111111111111,0.2361111111111111,"3,0,1,2"
3,F3-G,12,0.2361111111111111,0.2361111111111111,"2,3,0,1"
3,F3-G,13,0.2361111111111111,0.2361111111111111,"2,1,3,0"
3,F3-G,14,0.2361111111111111,0.2361111111111111,"1,2,3,0"
