subject,feature,seed,nmi,ari,hungarian_accuracy,purity,cluster_entropy,cluster_size_imbalance
2,F2-V,9,0.0036356495171321213,-0.0017446845946131042,0.2777777777777778,0.2864583333333333,0.9960089908479708,0.059027777777777776
2,F2-V,10,0.004895366209739408,-0.0005540634107735847,0.2829861111111111,0.2916666666666667,0.9961873183082637,0.0625
2,F2-V,11,0.003401746347966166,-0.0019733240737301507,0.2760416666666667,0.2847222222222222,0.9965044891369845,0.05555555555555555
2,F2-V,12,0.006581961744645357,0.0010340642528779416,0.2847222222222222,0.296875,0.9955974880299643,0.06597222222222222
2,F2-V,13,0.005385469885837908,-0.00010848178979503743,0.2829861111111111,0.2916666666666667,0.9955995585931083,0.07291666666666667
2,F2-V,14,0.006056215738775946,0.0005378029816708095,0.2847222222222222,0.2934027777777778,0.9949550079583421,0.06770833333333333
2,F2-V,15,0.005779234096785857,0.000273140038897943,0.2864583333333333,0.2951388888888889,0.9966408592848842,0.0625
2,F2-V,16,0.006024810146269569,0.0004943975521040258,0.2899305555555556,0.296875,0.9975929675597216,0.050347222222222224
2,F2-V,17,0.0031762943884423946,-0.00217007129646377,0.2760416666666667,0.2829861111111111,0.9958435558896878,0.0642361111111111
2,F2-V,18,0.005264791852925864,-0.0002217986841664109,0.2864583333333333,0.2934027777777778,0.997326003811049,0.052083333333333336
2,F2-V,19,0.006132077479314324,0.0006401070740843337,0.2847222222222222,0.2951388888888889,0.9954576162973341,0.06597222222222222
2,F3-G,0,0.0063731302436250345,0.00031318079142417243,0.2934027777777778,0.2934027777777778,0.833339664639638,0.3697916666666667
2,F3-G,1,0.00672866225410123,0.0003608056463682206,0.2934027777777778,0.2934027777777778,0.8298166756733575,0.3715277777777778
2,F3-G,2,0.00672866225410123,0.0003608056463682206,0.2934027777777778,0.2934027777777778,0.8298166756733575,0.3715277777777778
2,F3-G,3,0.00672866225410123,0.0003608056463682206,0.2934027777777778,0.2934027777777778,0.8298166756733574,0.3715277777777778
2,F3-G,4,0.00672866225410123,0.0003608056463682206,0.2934027777777778,0.2934027777777778,0.8298166756733574,0.3715277777777778
2,F3-G,5,0.00672866225410123,0.0003608056463682206,0.2934027777777778,0.2934027777777778,0.8298166756733574,0.3715277777777778
2,F3-G,6,0.0063731302436250345,0.00031318079142417243,0.2934027777777778,0.2934027777777778,0.8333396646396383,0.3697916666666667
