subject,representation,seed,mapping_accuracy,mapping_balanced_accuracy,selected
3,F2-S,4,0.3611111111111111,0.3611111111111111,"2,1,3,0"
3,F2-S,5,0.4010416666666667,0.40104166666666663,"1,0,3,2"
3,F2-S,6,0.4079861111111111,0.40798611111111105,"2,1,3,0"
3,F2-S,7,0.4166666666666667,0.4166666666666667,"2,0,3,1"
3,F2-S,8,0.3715277777777778,0.3715277777777778,"1,2,0,3"
3,F2-S,9,0.3784722222222222,0.3784722222222222,"0,3,2,1"
3,F2-S,10,0.3732638888888889,0.3732638888888889,"0,1,2,3"
3,F2-S,11,0.4149305555555556,0.4149305555555556,"1,3,2,0"
3,F2-S,12,0.3350694444444444,0.3350694444444444,"3,0,2,1"
3,F2-S,13,0.4149305555555556,0.4149305555555556,"3,1,2,0"
3,F2-S,14,0.375,0.375,"3,2,1,0"
3,F2-S,15,0.4201388888888889,0.42013888888888884,"1,2,0,3"
3,F2-S,16,0.4149305555555556,0.4149305555555556,"1,0,2,3"
3,F2-S,17,0.3350694444444444,0.3350694444444444,"0,2,3,1"
3,F2-S,18,0.3506944444444444,0.3506944444444444,"2,1,3,0"
3,F2-S,19,0.3420138888888889,0.3420138888888889,"2,3,1,0"
4,STATIC,0,0.3350694444444444,0.3350694444444444,"0,1,2,3"
4,STATIC,1,0.3350694444444444,0.3350694444444444,"1,3,0,2"
4,STATIC,2,0.3368055555555556,0.3368055555555555,"2,0,1,3"
4,STATIC,3,0.3333333333333333,0.3333333333333333,"1,0,3,2"
4,STATIC,4,0.3350694444444444,0.3350694444444444,"2,1,0,3"
4,STATIC,5,0.3333333333333333,0.3333333333333333,"0,3,2,1"
4,STATIC,6,0.3333333333333333,0.3333333333333333,"3,0,2,1"
4,STATIC,7,0.3402777777777778,0.3402777777777778,"2,0,3,1"
4,STATIC,8,0.3385416666666667,0.3385416666666667,"2,3,1,0"
4,STATIC,9,0.3385416666666667,0.3385416666666667,"2,3,1,0"
4,STATIC,10,0.3350694444444444,0.3350694444444444,"2,3,0,1"
4,STATIC,11,0.3402777777777778,0.3402777777777778,"2,1,3,0"
4,STATIC,12,0.3333333333333333,0.3333333333333333,"2,0,1,3"
4,STATIC,13,0.3385416666666667,0.33854166666666663,"0,1,3,2"
4,STATIC,14,0.3368055555555556,0.3368055555555556,"0,1,2,3"
4,STATIC,15,0.3350694444444444,0.3350694444444444,"0,3,1,2"
4,STATIC,16,0.3315972222222222,0.3315972222222222,"0,3,1,2"
4,STATIC,17,0.3368055555555556,0.3368055555555556,"3,0,2,1"
4,STATIC,18,0.3385416666666667,0.3385416666666667,"0,2,3,1"
4,STATIC,19,0.3350694444444444,0.3350694444444444,"1,3,0,2"
4,F1,0,0.3298611111111111,0.32986111111111116,"1,0,3,2"
4,F1,1,0.328125,0.328125,"3,0,2,1"
4,F1,2,0.328125,0.328125,"1,3,2,0"
4,F1,3,0.3194444444444444,0.3194444444444444,"3,0,1,2"
4,F1,4,0.3315972222222222,0.3315972222222222,"1,3,2,0"
4,F1,5,0.3298611111111111,0.3298611111111111,"0,3,1,2"
4,F1,6,0.3211805555555556,0.3211805555555556,"0,2,3,1"
4,F1,7,0.3229166666666667,0.32291666666666663,"1,3,0,2"
4,F1,8,0.3246527777777778,0.3246527777777778,"3,0,1,2"
4,F1,9,0.3350694444444444,0.3350694444444445,"1,3,0,2"
4,F1,10,0.3298611111111111,0.32986111111111116,"3,1,2,0"
4,F1,11,0.3315972222222222,0.3315972222222222,"3,0,1,2"
4,F1,12,0.3263888888888889,0.3263888888888889,"3,2,0,1"
4,F1,13,0.3246527777777778,0.3246527777777778,"0,1,2,3"
4,F1,14,0.3229166666666667,0.32291666666666663,"0,3,2,1"
