subject,unrelated_subject,source_session,target_session,representation,heldout,error,best_cost,determinants
3,4,0train,0train,STATIC,0,0.6569624452949971,6.649837667138186e-20,"-1,1,-1,1"
3,4,0train,0train,STATIC,1,0.1593917170498678,5.724854345970111e-20,"-1,1,-1,1"
3,4,0train,0train,STATIC,2,0.29085229520709416,6.178750050131574e-20,"-1,1,-1,1"
3,4,0train,0train,STATIC,3,0.6737943154786393,5.791481771783367e-20,"-1,1,-1,1"
3,4,0train,0train,F1,0,0.6048782566710182,67.96071870666916,"-1,1,-1,1"
3,4,0train,0train,F1,1,0.6764910070767831,66.42768013709863,"-1,1,-1,1"
3,4,0train,0train,F1,2,0.5106173502978643,68.72392501013861,"-1,1,-1,1"
3,4,0train,0train,F1,3,0.5096802597301086,59.372164421821495,"-1,1,-1,1"
3,4,0train,0train,F2-S,0,1.2373129230811621,7.6108174739709975,"-1,1,-1,1"
3,4,0train,0train,F2-S,1,1.2655230875896248,6.413880594765851,"-1,1,-1,1"
3,4,0train,0train,F2-S,2,2.1055716319300943,7.102683053531788,"-1,1,-1,1"
3,4,0train,0train,F2-S,3,0.818208917523951,7.571506755493624,"-1,1,-1,1"
3,4,0train,1test,STATIC,0,0.27964346203519347,5.817796307313449e-20,"-1,1,-1,1"
3,4,0train,1test,STATIC,1,0.07711249572792193,4.1866592000772015e-20,"-1,1,-1,1"
3,4,0train,1test,STATIC,2,0.17277546711400135,4.4832260104226083e-20,"-1,1,-1,1"
3,4,0train,1test,STATIC,3,0.4292496369071951,5.307385115497647e-20,"-1,1,-1,1"
3,4,0train,1test,F1,0,0.5716859606076353,63.94839716755125,"-1,1,-1,1"
3,4,0train,1test,F1,1,0.701884318933838,53.73213830652841,"-1,1,-1,1"
3,4,0train,1test,F1,2,0.556624478051879,53.420713942733954,"-1,1,-1,1"
3,4,0train,1test,F1,3,0.537201497341136,56.40951210102014,"-1,1,-1,1"
3,4,0train,1test,F2-S,0,1.47888462334339,6.531164900057685,"-1,1,-1,1"
3,4,0train,1test,F2-S,1,1.6821544799008963,11.33823870739965,"-1,1,-1,1"
3,4,0train,1test,F2-S,2,2.196087184688694,11.039739347879664,"-1,1,-1,1"
3,4,0train,1test,F2-S,3,0.6884578249374961,10.490486162607203,"-1,1,-1,1"
3,4,1test,0train,STATIC,0,0.3685577403294634,1.13405490486997e-19,"-1,1,-1,1"
3,4,1test,0train,STATIC,1,0.09298171496495078,1.0943509158430254e-19,"-1,1,-1,1"
3,4,1test,0train,STATIC,2,0.14294745073377216,1.0855464222433697e-19,"-1,1,-1,1"
3,4,1test,0train,STATIC,3,0.44111010739918427,1.057383173711082e-19,"-1,1,-1,1"
3,4,1test,0train,F1,0,0.49635139771511894,89.05998613149264,"-1,1,-1,1"
3,4,1test,0train,F1,1,0.6743945888866502,91.70087349437314,"-1,1,-1,1"
3,4,1test,0train,F1,2,0.4599650355417644,90.87992472891737,"-1,1,-1,1"
3,4,1test,0train,F1,3,0.4613556655357837,81.78327001210918,"-1,1,-1,1"
3,4,1test,0train,F2-S,0,1.3461507255698935,8.264956296864169,"-1,1,-1,1"
3,4,1test,0train,F2-S,1,1.2008951538559236,6.313879956319841,"-1,1,-1,1"
3,4,1test,0train,F2-S,2,2.2956085008548763,7.842514502447024,"-1,1,-1,1"
3,4,1test,0train,F2-S,3,0.9832557423457271,8.41459015116432,"-1,1,-1,1"
3,4,1test,1test,STATIC,0,0.13196096831694684,1.020611512431805e-19,"-1,1,-1,1"
