mode,subject,source_session,target_session,representation,seed,permutation,heldout,error,best_cost,determinants,iterations
zero,1,both,both,F1,18.0,"3,2,1,0",0,0.5971960811781286,31.053182637647673,"-1,1,-1,1","14,18,18,19"
zero,1,both,both,F1,18.0,"3,2,1,0",1,0.22224059097513174,51.83399506548011,"-1,1,-1,1","28,12,13,28"
zero,1,both,both,F1,18.0,"3,2,1,0",2,0.533482880951771,38.79753397436042,"-1,1,-1,1","11,9,25,17"
zero,1,both,both,F1,18.0,"3,2,1,0",3,0.2056666424857847,49.74084520541074,"-1,1,-1,1","14,17,15,16"
zero,1,both,both,F1,19.0,"0,1,2,3",0,0.5944153825802931,47.53917807161141,"-1,1,-1,1","16,14,14,22"
zero,1,both,both,F1,19.0,"0,1,2,3",1,0.25867860972736073,67.00214948400954,"-1,1,-1,1","12,14,10,8"
zero,1,both,both,F1,19.0,"0,1,2,3",2,0.22779268083420956,66.17377544224779,"-1,1,-1,1","17,13,19,13"
zero,1,both,both,F1,19.0,"0,1,2,3",3,0.6889213758972617,38.64269406233262,"-1,1,-1,1","20,14,14,14"
zero,1,both,both,F1,19.0,"0,1,3,2",0,0.6036614743696166,41.327077040884966,"-1,1,-1,1","15,16,26,14"
zero,1,both,both,F1,19.0,"0,1,3,2",1,0.26404620436883913,60.59595116846516,"-1,1,-1,1","13,13,14,11"
zero,1,both,both,F1,19.0,"0,1,3,2",2,0.5611820287325754,48.5082128493615,"-1,1,-1,1","13,13,12,12"
zero,1,both,both,F1,19.0,"0,1,3,2",3,0.3410482428211552,50.758568480352565,"-1,1,-1,1","8,13,17,13"
zero,1,both,both,F1,19.0,"0,2,1,3",0,0.5920254466172579,44.96079402431232,"-1,1,-1,1","14,15,12,14"
zero,1,both,both,F1,19.0,"0,2,1,3",1,0.20726741079781835,65.2798026936097,"-1,1,-1,1","16,10,11,9"
zero,1,both,both,F1,19.0,"0,2,1,3",2,0.19265874611361974,65.34647244130241,"-1,1,-1,1","9,8,9,13"
zero,1,both,both,F1,19.0,"0,2,1,3",3,0.6863342088867231,36.20101598602447,"-1,1,-1,1","12,8,8,9"
zero,1,both,both,F1,19.0,"0,2,3,1",0,0.5964837713095259,31.066703950351233,"-1,1,-1,1","15,20,20,16"
zero,1,both,both,F1,19.0,"0,2,3,1",1,0.22631839349667263,51.59302710883908,"-1,1,-1,1","26,14,14,15"
zero,1,both,both,F1,19.0,"0,2,3,1",2,0.53310705594634,38.84754964819997,"-1,1,-1,1","11,9,25,17"
zero,1,both,both,F1,19.0,"0,2,3,1",3,0.20598188433658984,49.7425753750855,"-1,1,-1,1","12,17,15,14"
zero,1,both,both,F1,19.0,"0,3,1,2",0,0.5864481309050312,36.83785522619604,"-1,1,-1,1","13,15,14,12"
zero,1,both,both,F1,19.0,"0,3,1,2",1,0.4987472927097138,47.345475625984804,"-1,1,-1,1","15,19,17,8"
zero,1,both,both,F1,19.0,"0,3,1,2",2,0.22379641776668957,56.421190166691346,"-1,1,-1,1","17,22,19,12"
zero,1,both,both,F1,19.0,"0,3,1,2",3,0.33026930317988096,45.58358075709513,"-1,1,-1,1","10,22,13,9"
zero,1,both,both,F1,19.0,"0,3,2,1",0,0.6013547102322264,28.956910729212964,"-1,1,-1,1","15,19,21,18"
zero,1,both,both,F1,19.0,"0,3,2,1",1,0.4718969737905118,40.31347520257481,"-1,1,-1,1","14,23,10,11"
zero,1,both,both,F1,19.0,"0,3,2,1",2,0.23726606581424442,47.513221562527534,"-1,1,-1,1","24,16,12,17"
zero,1,both,both,F1,19.0,"0,3,2,1",3,0.184941185943877,47.21984512478025,"-1,1,-1,1","9,12,19,7"
zero,1,both,both,F1,19.0,"1,0,2,3",0,0.1764622054379488,55.244864901583725,"-1,1,-1,1","11,10,17,13"
