protocol_version,config_sha256,seed,row_type,source_table,question,protocol,decoder,geometry,native_metric,metric,subject,comparator,n,value,mean,std_ddof1,median,minimum,maximum,delta,sign_category,improved_subjects,worsened_subjects,tied_subjects,threshold,pass_flag,verdict,operands_json,formula,notes
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,leakage_fold_aggregate,v1_leakage_audit.csv,,,logistic,LE,,balanced_accuracy,,v1_all_sample,5.0,,0.611904761904762,0.01435657518647107,0.6150793650793651,0.5925925925925926,0.6296296296296297,,,,,,,,,,,
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,leakage_pooled_oof,v1_leakage_audit.csv,,,logistic,LE,,balanced_accuracy,,v1_all_sample,2592.0,0.6118827160493827,,,,,,,,,,,,,,,,pooled OOF metric; not the mean of fold metrics
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,leakage_fold_aggregate,v1_leakage_audit.csv,,,logistic,LE,,accuracy,,v1_all_sample,5.0,,0.611904761904762,0.01435657518647107,0.6150793650793651,0.5925925925925926,0.6296296296296297,,,,,,,,,,,
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,leakage_pooled_oof,v1_leakage_audit.csv,,,logistic,LE,,accuracy,,v1_all_sample,2592.0,0.6118827160493827,,,,,,,,,,,,,,,,pooled OOF metric; not the mean of fold metrics
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,leakage_fold_aggregate,v1_leakage_audit.csv,,,logistic,LE,,balanced_accuracy,,fold_safe,5.0,,0.6068783068783069,0.01637783020230211,0.6051587301587302,0.5851851851851851,0.6277777777777778,,,,,,,,,,,
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,leakage_pooled_oof,v1_leakage_audit.csv,,,logistic,LE,,balanced_accuracy,,fold_safe,2592.0,0.6068672839506173,,,,,,,,,,,,,,,,pooled OOF metric; not the mean of fold metrics
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,leakage_fold_aggregate,v1_leakage_audit.csv,,,logistic,LE,,accuracy,,fold_safe,5.0,,0.6068783068783069,0.01637783020230211,0.6051587301587301,0.5851851851851851,0.6277777777777778,,,,,,,,,,,
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,leakage_pooled_oof,v1_leakage_audit.csv,,,logistic,LE,,accuracy,,fold_safe,2592.0,0.6068672839506173,,,,,,,,,,,,,,,,pooled OOF metric; not the mean of fold metrics
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,primary_logistic_failure,loso_logistic_transductive.csv,,T1,logistic,RAW,,,4.0,ALL,,,,,,,,,,,,,,False,,,,"PRIMARY FAILED; Q1-Q3 unassessed: [""lbfgs failed to converge after 5000 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=5000).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html\nPlease also refer to the documentation for alternative solver options:\n    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression""]"
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,primary_logistic_failure,loso_logistic_calibration.csv,,T2,logistic,RAW,,,4.0,A,,,,,,,,,,,,,,False,,,,"PRIMARY FAILED; Q1-Q3 unassessed: [""lbfgs failed to converge after 5000 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=5000).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html\nPlease also refer to the documentation for alternative solver options:\n    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression""]"
