dataset,geometry,template,object,signature,subject,session0_half_cosine,session1_half_cosine,mean_session_half_cosine,same_subject_cross_session_cosine
BNCI2014_001,AIRM,pooled_session,Z,spectrum,2,0.98147844724215594,0.97116733203826766,0.97632288964021208,0.96279722152309255
BNCI2014_001,AIRM,pooled_session,Z,spectrum,3,0.85089264468158432,0.95417383266152012,0.90253323867155211,0.9798806843387341
BNCI2014_001,AIRM,pooled_session,Z,spectrum,4,0.89041559512437152,0.98601465312713132,0.93821512412575148,0.74768849891503275
BNCI2014_001,AIRM,pooled_session,Z,spectrum,5,0.98311604458230062,0.98669395511788527,0.98490499985009294,0.978800495303767
BNCI2014_001,AIRM,pooled_session,Z,spectrum,6,0.95065417076031733,0.98350437080899578,0.96707927078465661,0.96519917328827409
BNCI2014_001,AIRM,pooled_session,Z,spectrum,7,0.94995726297480432,0.96557988612108592,0.95776857454794528,0.96692869091220535
BNCI2014_001,AIRM,pooled_session,Z,spectrum,8,0.96635554131269052,0.98925589208259923,0.97780571669764516,0.9612430316022762
BNCI2014_001,AIRM,pooled_session,Z,spectrum,9,0.94973920131200085,0.98956161444631985,0.96965040787916068,0.88553487256668972
BNCI2014_001,AIRM,pooled_session,R,sensor,1,0.85239735537949257,0.77278433628622123,0.81259084583285701,0.92253245113588478
BNCI2014_001,AIRM,pooled_session,R,sensor,2,0.86416675961419487,0.88903647949681175,0.87660161955550342,0.90824141726263874
BNCI2014_001,AIRM,pooled_session,R,sensor,3,0.63315640067721435,0.79320464928002798,0.71318052497862117,0.87071605445716871
BNCI2014_001,AIRM,pooled_session,R,sensor,4,0.61756062656027344,0.74705551574247842,0.68230807115137604,0.52417631580720092
BNCI2014_001,AIRM,pooled_session,R,sensor,5,0.75402256923944189,0.76891492822889762,0.76146874873416981,0.86283141351071047
BNCI2014_001,AIRM,pooled_session,R,sensor,6,0.58625506393430959,0.73745997475147329,0.66185751934289161,0.7856374132299444
BNCI2014_001,AIRM,pooled_session,R,sensor,7,0.68630507525575568,0.73499505815690203,0.71065006670632891,0.79530000318792182
BNCI2014_001,AIRM,pooled_session,R,sensor,8,0.77971820668526115,0.83198468055147712,0.80585144361836925,0.78923581775304097
BNCI2014_001,AIRM,pooled_session,R,sensor,9,0.70327996415448302,0.90930074338011058,0.80629035376729674,0.75127419075854562
BNCI2014_001,AIRM,pooled_session,R,spectrum,1,0.96876846828525109,0.92928871629808985,0.94902859229167047,0.98065682801985266
BNCI2014_001,AIRM,pooled_session,R,spectrum,2,0.98149266959353221,0.97117468281989638,0.97633367620671452,0.96280006914618965
BNCI2014_001,AIRM,pooled_session,R,spectrum,3,0.85073981960001688,0.95420437081976539,0.90247209520989102,0.97993061604926079
BNCI2014_001,AIRM,pooled_session,R,spectrum,4,0.89039611449398492,0.98601076679789845,0.93820344064594186,0.74769832826899085
BNCI2014_001,AIRM,pooled_session,R,spectrum,5,0.98311957457451893,0.98670261517864866,0.98491109487658401,0.9787955555070974
BNCI2014_001,AIRM,pooled_session,R,spectrum,6,0.95070396678374636,0.98351194057060054,0.96710795367717362,0.96515845321853821
BNCI2014_001,AIRM,pooled_session,R,spectrum,7,0.94995952858274135,0.96560602864676914,0.95778277861475536,0.96694495251300761
BNCI2014_001,AIRM,pooled_session,R,spectrum,8,0.96634954122517769,0.98915938137803561,0.97775446130160681,0.96110248701830137
BNCI2014_001,AIRM,pooled_session,R,spectrum,9,0.94967077617890583,0.98957503297258542,0.96962290457574574,0.88552670042027659
BNCI2014_001,LE,session_specific,Z,sensor,1,0.85816541988532458,0.76340080729231019,0.81078311358881749,0.91850682034130293
BNCI2014_001,LE,session_specific,Z,sensor,2,0.85683493953825696,0.89854082771605392,0.87768788362715555,0.87393943344193592
BNCI2014_001,LE,session_specific,Z,sensor,3,0.64698679772004464,0.77159328442017805,0.70929004107011151,0.83367742895203323
BNCI2014_001,LE,session_specific,Z,sensor,4,0.57632876417514989,0.74452509136495504,0.66042692777005252,0.48181314842555589
BNCI2014_001,LE,session_specific,Z,sensor,5,0.74440218156749816,0.79836828156758222,0.77138523156754024,0.85502317510724746
BNCI2014_001,LE,session_specific,Z,sensor,6,0.58858382099112583,0.72762361045591362,0.65810371572351989,0.77994394621451824
BNCI2014_001,LE,session_specific,Z,sensor,7,0.67104770001720548,0.75401599994723867,0.71253184998222219,0.73285707736460992
BNCI2014_001,LE,session_specific,Z,sensor,8,0.77524977345631685,0.82774915121912407,0.80149946233772051,0.77253502564527055
BNCI2014_001,LE,session_specific,Z,sensor,9,0.70616471586642882,0.92246955647181694,0.81431713616912293,0.74830411883066417
BNCI2014_001,LE,session_specific,Z,spectrum,1,0.96501466683529979,0.92386722063302273,0.94444094373416143,0.98613626921786091
BNCI2014_001,LE,session_specific,Z,spectrum,2,0.97184859100738996,0.97119258469941683,0.97152058785340356,0.92844688528145003
BNCI2014_001,LE,session_specific,Z,spectrum,3,0.83687701658496494,0.94179279898634327,0.88933490778565416,0.94791632968297268
BNCI2014_001,LE,session_specific,Z,spectrum,4,0.84576628264975162,0.97495993044162277,0.91036310654568731,0.70170907861368492
BNCI2014_001,LE,session_specific,Z,spectrum,5,0.97856935459161232,0.986689071410638,0.98262921300112516,0.96697666400260385
BNCI2014_001,LE,session_specific,Z,spectrum,6,0.94980341139148461,0.98254420213417137,0.96617380676282816,0.96449302656202818
BNCI2014_001,LE,session_specific,Z,spectrum,7,0.93852967586866476,0.96483129477456753,0.95168048532161631,0.9172626821483304
BNCI2014_001,LE,session_specific,Z,spectrum,8,0.94955708099879899,0.98112573330829478,0.9653414071535471,0.95526482403745627
BNCI2014_001,LE,session_specific,Z,spectrum,9,0.94136789561122824,0.99099133787561722,0.9661796167434229,0.86773371799186994
BNCI2014_001,LE,session_specific,R,sensor,1,0.85816541988532491,0.76340080729231008,0.81078311358881761,0.91850682034130349
BNCI2014_001,LE,session_specific,R,sensor,2,0.85683493953825685,0.89854082771605381,0.87768788362715555,0.87393943344193459
BNCI2014_001,LE,session_specific,R,sensor,3,0.64698679772004475,0.77159328442017827,0.70929004107011151,0.8336774289520329
BNCI2014_001,LE,session_specific,R,sensor,4,0.57632876417514989,0.74452509136495504,0.66042692777005252,0.48181314842555562
BNCI2014_001,LE,session_specific,R,sensor,5,0.74440218156749793,0.79836828156758222,0.77138523156754024,0.85502317510724846
BNCI2014_001,LE,session_specific,R,sensor,6,0.58858382099112583,0.72762361045591362,0.65810371572351978,0.77994394621451879
BNCI2014_001,LE,session_specific,R,sensor,7,0.67104770001720548,0.75401599994723878,0.71253184998222219,0.73285707736460937
BNCI2014_001,LE,session_specific,R,sensor,8,0.77524977345631685,0.82774915121912418,0.80149946233772063,0.77253502564527043
BNCI2014_001,LE,session_specific,R,sensor,9,0.70616471586642882,0.92246955647181694,0.81431713616912282,0.74830411883066494
BNCI2014_001,LE,session_specific,R,spectrum,1,0.96501466683529402,0.92386722063302207,0.9444409437341581,0.98613626921786279
BNCI2014_001,LE,session_specific,R,spectrum,2,0.97184859100739129,0.97119258469941516,0.97152058785340345,0.92844688528144759
BNCI2014_001,LE,session_specific,R,spectrum,3,0.83687701658496672,0.94179279898634138,0.88933490778565405,0.9479163296829709
BNCI2014_001,LE,session_specific,R,spectrum,4,0.84576628264975429,0.97495993044163465,0.91036310654569452,0.70170907861367726
BNCI2014_001,LE,session_specific,R,spectrum,5,0.97856935459161187,0.98668907141063777,0.98262921300112482,0.96697666400260729
BNCI2014_001,LE,session_specific,R,spectrum,6,0.94980341139148339,0.98254420213417282,0.96617380676282782,0.96449302656202707
BNCI2014_001,LE,session_specific,R,spectrum,7,0.93852967586866498,0.96483129477457075,0.95168048532161797,0.91726268214832918
BNCI2014_001,LE,session_specific,R,spectrum,8,0.94955708099879743,0.98112573330829356,0.96534140715354555,0.9552648240374596
BNCI2014_001,LE,session_specific,R,spectrum,9,0.94136789561123013,0.99099133787561922,0.96617961674342467,0.86773371799186438
BNCI2014_001,LE,pooled_session,Z,sensor,1,0.854918216846834,0.78260411426298027,0.81876116555490719,0.92390469675602704
BNCI2014_001,LE,pooled_session,Z,sensor,2,0.87641455602068041,0.89982500507014618,0.8881197805454133,0.91739232252199776
BNCI2014_001,LE,pooled_session,Z,sensor,3,0.62307755847176705,0.78058499165231676,0.70183127506204201,0.87915088620153192
BNCI2014_001,LE,pooled_session,Z,sensor,4,0.61906018873949065,0.75829017962897338,0.68867518418423213,0.47635446565028317
BNCI2014_001,LE,pooled_session,Z,sensor,5,0.78237233404599182,0.78484539742084292,0.78360886573341759,0.8817408440543244
BNCI2014_001,LE,pooled_session,Z,sensor,6,0.61404372878856561,0.73976850019047891,0.67690611448952231,0.80204884012334388
BNCI2014_001,LE,pooled_session,Z,sensor,7,0.69437286226961947,0.73476632916956741,0.71456959571959355,0.79613856463119792
BNCI2014_001,LE,pooled_session,Z,sensor,8,0.7977431546074446,0.83722968305964451,0.81748641883354467,0.78924245017314965
BNCI2014_001,LE,pooled_session,Z,sensor,9,0.72427943422156749,0.92521441022842332,0.82474692222499568,0.75657584949633505
BNCI2014_001,LE,pooled_session,Z,spectrum,1,0.96435199488705936,0.92058729808774475,0.94246964648740206,0.9799815225640931
BNCI2014_001,LE,pooled_session,Z,spectrum,2,0.98079189548058743,0.97171722363345481,0.97625455955702112,0.9605954171740213
BNCI2014_001,LE,pooled_session,Z,spectrum,3,0.81631691643636406,0.9404126056542087,0.87836476104528649,0.9796317086417724
BNCI2014_001,LE,pooled_session,Z,spectrum,4,0.86586629436582185,0.98262509148639765,0.92424569292611003,0.68176096802066721
BNCI2014_001,LE,pooled_session,Z,spectrum,5,0.98330142286878797,0.98630252323151324,0.98480197305015083,0.97889769068435872
BNCI2014_001,LE,pooled_session,Z,spectrum,6,0.94865221216144124,0.98219259652410307,0.96542240434277216,0.96316097707885273
BNCI2014_001,LE,pooled_session,Z,spectrum,7,0.93762080219596178,0.95669003860818025,0.94715542040207112,0.95999943544243993
BNCI2014_001,LE,pooled_session,Z,spectrum,8,0.95809355924698036,0.98786550806330087,0.97297953365514056,0.95250457101880903
BNCI2014_001,LE,pooled_session,Z,spectrum,9,0.94098945340462015,0.99219483756068549,0.96659214548265282,0.86698141363504566
BNCI2014_001,LE,pooled_session,R,sensor,1,0.854918216846834,0.78260411426298027,0.81876116555490719,0.92390469675602893
BNCI2014_001,LE,pooled_session,R,sensor,2,0.87641455602068041,0.89982500507014596,0.8881197805454133,0.91739232252199709
BNCI2014_001,LE,pooled_session,R,sensor,3,0.62307755847176705,0.78058499165231676,0.7018312750620419,0.87915088620153059
BNCI2014_001,LE,pooled_session,R,sensor,4,0.61906018873949065,0.75829017962897338,0.68867518418423213,0.47635446565028405
BNCI2014_001,LE,pooled_session,R,sensor,5,0.78237233404599182,0.78484539742084292,0.78360886573341748,0.88174084405432696
BNCI2014_001,LE,pooled_session,R,sensor,6,0.61404372878856539,0.73976850019047891,0.67690611448952231,0.80204884012334388
BNCI2014_001,LE,pooled_session,R,sensor,7,0.69437286226961947,0.7347663291695673,0.71456959571959344,0.79613856463119903
BNCI2014_001,LE,pooled_session,R,sensor,8,0.79774315460744483,0.83722968305964462,0.81748641883354489,0.78924245017315009
BNCI2014_001,LE,pooled_session,R,sensor,9,0.72427943422156782,0.92521441022842332,0.82474692222499568,0.75657584949633494
BNCI2014_001,LE,pooled_session,R,spectrum,1,0.9643519948870537,0.92058729808774586,0.94246964648739984,0.97998152256409443
BNCI2014_001,LE,pooled_session,R,spectrum,2,0.9807918954805861,0.97171722363345325,0.97625455955701979,0.96059541717401975
BNCI2014_001,LE,pooled_session,R,spectrum,3,0.81631691643636151,0.94041260565420315,0.87836476104528249,0.97963170864177673
BNCI2014_001,LE,pooled_session,R,spectrum,4,0.86586629436582063,0.98262509148640753,0.92424569292611425,0.68176096802065722
BNCI2014_001,LE,pooled_session,R,spectrum,5,0.98330142286878519,0.98630252323151002,0.98480197305014761,0.97889769068436272
BNCI2014_001,LE,pooled_session,R,spectrum,6,0.94865221216143769,0.98219259652410573,0.96542240434277171,0.96316097707885229
BNCI2014_001,LE,pooled_session,R,spectrum,7,0.93762080219596133,0.95669003860818336,0.94715542040207246,0.95999943544243815
BNCI2014_001,LE,pooled_session,R,spectrum,8,0.95809355924697959,0.98786550806329765,0.97297953365513878,0.95250457101881125
BNCI2014_001,LE,pooled_session,R,spectrum,9,0.9409894534046247,0.9921948375606876,0.96659214548265626,0.86698141363504144
