half,component,subject,J_s,T_J
B,full,28,0.3716864060750449,-0.05176408350973886
B,full,29,0.5736174837834186,-0.05176408350973886
B,full,30,0.28785790204743944,-0.05176408350973886
B,full,31,0.6022889932086762,-0.05176408350973886
B,full,32,-0.07038755751146208,-0.05176408350973886
B,full,33,-0.8603182870588592,-0.05176408350973886
B,full,34,-0.37857593565821657,-0.05176408350973886
B,full,35,-0.018442702490120144,-0.05176408350973886
B,full,36,-0.1179545425210583,-0.05176408350973886
B,full,37,-0.3014213462042914,-0.05176408350973886
B,full,38,-0.745038862299819,-0.05176408350973886
B,full,39,0.22147943510423507,-0.05176408350973886
B,full,40,0.011296930858377463,-0.05176408350973886
B,full,41,-0.39063901353005626,-0.05176408350973886
B,full,42,0.04418456148797756,-0.05176408350973886
B,full,43,1.0653293516548135,-0.05176408350973886
B,full,44,-0.17850822309366354,-0.05176408350973886
B,full,45,0.038733715471187535,-0.05176408350973886
B,full,46,0.9526619949922226,-0.05176408350973886
B,full,47,-0.35760790713181545,-0.05176408350973886
B,full,48,0.9382837650904846,-0.05176408350973886
B,full,49,0.045871277989639525,-0.05176408350973886
B,full,50,0.1335025321704727,-0.05176408350973886
B,full,51,-0.8636404468412381,-0.05176408350973886
B,full,52,0.15505936161097,-0.05176408350973886
B,full,53,-0.3921438409443778,-0.05176408350973886
B,full,54,0.43598572752984543,-0.05176408350973886
B,len,1,-0.014035596705049572,-0.007518841980481046
B,len,2,0.004243714087998937,-0.007518841980481046
B,len,3,-0.04426019193132257,-0.007518841980481046
B,len,4,-0.040561125913054386,-0.007518841980481046
B,len,5,0.00366120416811605,-0.007518841980481046
B,len,6,0.15464680905813888,-0.007518841980481046
B,len,7,0.023625692192588116,-0.007518841980481046
B,len,8,0.0332775503581727,-0.007518841980481046
B,len,9,0.0026208023458572025,-0.007518841980481046
B,len,10,4.94211256493321e-05,-0.007518841980481046
B,len,11,0.05408944294130279,-0.007518841980481046
B,len,12,0.0012840340187216942,-0.007518841980481046
B,len,13,-0.17054668891706745,-0.007518841980481046
B,len,14,0.001720899124397851,-0.007518841980481046
B,len,15,0.10225124222920537,-0.007518841980481046
B,len,16,0.02466844837869977,-0.007518841980481046
