subject,session,class,state,half,trial_count,normalized_karcher_residual,warning_count
6,0,right_hand,5,B,25,6.529876696402623e-11,0
7,0,left_hand,1,full,50,4.092083080878729e-11,0
7,0,left_hand,1,A,25,4.060159272182798e-11,0
7,0,left_hand,1,B,25,4.280514409083108e-11,0
7,0,left_hand,2,full,50,4.362160992049623e-11,0
7,0,left_hand,2,A,25,4.601540333984981e-11,0
7,0,left_hand,2,B,25,4.3002700158057724e-11,0
7,0,left_hand,3,full,50,4.11221214320752e-11,0
7,0,left_hand,3,A,25,4.28005405081009e-11,0
7,0,left_hand,3,B,25,4.206569014418538e-11,0
7,0,left_hand,4,full,50,4.094967295195624e-11,0
7,0,left_hand,4,A,25,3.882375731322229e-11,0
7,0,left_hand,4,B,25,4.41103648072253e-11,0
7,0,left_hand,5,full,50,4.397155418512166e-11,0
7,0,left_hand,5,A,25,4.78178283958467e-11,0
7,0,left_hand,5,B,25,4.357846203774741e-11,0
7,0,right_hand,1,full,50,4.298732201877184e-11,0
7,0,right_hand,1,A,25,4.503388586577771e-11,0
7,0,right_hand,1,B,25,4.283652068918626e-11,0
7,0,right_hand,2,full,50,4.248101891499284e-11,0
7,0,right_hand,2,A,25,4.327913081367847e-11,0
7,0,right_hand,2,B,25,4.387608438366591e-11,0
7,0,right_hand,3,full,50,4.241358542068565e-11,0
7,0,right_hand,3,A,25,4.45893851376809e-11,0
7,0,right_hand,3,B,25,4.220214446815561e-11,0
7,0,right_hand,4,full,50,4.361394407396594e-11,0
7,0,right_hand,4,A,25,4.350119463946547e-11,0
7,0,right_hand,4,B,25,4.578153371555007e-11,0
7,0,right_hand,5,full,50,4.278084656926656e-11,0
7,0,right_hand,5,A,25,4.522970398108769e-11,0
7,0,right_hand,5,B,25,4.321055191055723e-11,0
8,0,left_hand,1,full,50,7.355938328183366e-11,0
8,0,left_hand,1,A,25,7.769642134126985e-11,0
8,0,left_hand,1,B,25,7.058085715656608e-11,0
8,0,left_hand,2,full,50,7.449934024448263e-11,0
8,0,left_hand,2,A,25,8.075008310375179e-11,0
8,0,left_hand,2,B,25,6.894422687550359e-11,0
8,0,left_hand,3,full,50,8.479284866735253e-11,0
8,0,left_hand,3,A,25,8.373352089246509e-11,0
8,0,left_hand,3,B,25,3.670363655141434e-11,0
8,0,left_hand,4,full,50,8.275035730700995e-11,0
8,0,left_hand,4,A,25,8.311302258571383e-11,0
8,0,left_hand,4,B,25,8.286525973536066e-11,0
8,0,left_hand,5,full,50,7.661341154151175e-11,0
8,0,left_hand,5,A,25,7.555911943709203e-11,0
8,0,left_hand,5,B,25,7.829262569795133e-11,0
8,0,right_hand,1,full,50,3.729493367589621e-11,0
8,0,right_hand,1,A,25,7.991676508807908e-11,0
8,0,right_hand,1,B,25,4.093011164667815e-11,0
8,0,right_hand,2,full,50,4.531494611888068e-11,0
8,0,right_hand,2,A,25,7.549017687988502e-11,0
8,0,right_hand,2,B,25,5.324152470706619e-11,0
8,0,right_hand,3,full,50,8.374881749817857e-11,0
8,0,right_hand,3,A,25,7.566172757951723e-11,0
8,0,right_hand,3,B,25,3.87694533312757e-11,0
8,0,right_hand,4,full,50,4.7374732847266786e-11,0
8,0,right_hand,4,A,25,7.873894525133689e-11,0
8,0,right_hand,4,B,25,5.942632401766067e-11,0
8,0,right_hand,5,full,50,8.255733872075467e-11,0
8,0,right_hand,5,A,25,8.281697792753208e-11,0
8,0,right_hand,5,B,25,8.295855013985509e-11,0
9,0,left_hand,1,full,50,5.994538252672238e-11,0
9,0,left_hand,1,A,25,6.028061846166799e-11,0
9,0,left_hand,1,B,25,6.096034213742494e-11,0
9,0,left_hand,2,full,50,6.388982742814258e-11,0
9,0,left_hand,2,A,25,6.109573838625355e-11,0
9,0,left_hand,2,B,25,7.102115943321552e-11,0
9,0,left_hand,3,full,50,6.20419519981433e-11,0
9,0,left_hand,3,A,25,5.768404699480313e-11,0
9,0,left_hand,3,B,25,6.816050194554399e-11,0
9,0,left_hand,4,full,50,5.986085579889054e-11,0
9,0,left_hand,4,A,25,5.679271761324093e-11,0
9,0,left_hand,4,B,25,6.582595321420994e-11,0
9,0,left_hand,5,full,50,6.238229714051945e-11,0
9,0,left_hand,5,A,25,6.325199247265829e-11,0
9,0,left_hand,5,B,25,6.410877673766308e-11,0
9,0,right_hand,1,full,50,7.42531067724182e-11,0
