phase,session,geometry,split,row_type,subject,class_row,class_column,value
discovery,0train,AIRM,F,subject_median,,right_hand,feet,-0.12184495116695347
discovery,0train,AIRM,F,subject_median,,right_hand,tongue,-0.4013108464464217
discovery,0train,AIRM,F,subject_median,,feet,left_hand,-0.17217441750174323
discovery,0train,AIRM,F,subject_median,,feet,right_hand,-0.12184495116695347
discovery,0train,AIRM,F,subject_median,,feet,feet,0.2985820071959722
discovery,0train,AIRM,F,subject_median,,feet,tongue,0.03953511060505192
discovery,0train,AIRM,F,subject_median,,tongue,left_hand,-0.7053967510073966
discovery,0train,AIRM,F,subject_median,,tongue,right_hand,-0.4013108464464217
discovery,0train,AIRM,F,subject_median,,tongue,feet,0.03953511060505192
discovery,0train,AIRM,F,subject_median,,tongue,tongue,0.9423366197014348
confirmatory,1test,AIRM,F,subject,1,left_hand,left_hand,1.2112138475635077
confirmatory,1test,AIRM,F,subject,1,left_hand,right_hand,0.9267443133894644
confirmatory,1test,AIRM,F,subject,1,left_hand,feet,-0.9548236599978039
confirmatory,1test,AIRM,F,subject,1,left_hand,tongue,-1.179285068558545
confirmatory,1test,AIRM,F,subject,1,right_hand,left_hand,0.9267443133894644
confirmatory,1test,AIRM,F,subject,1,right_hand,right_hand,1.7356892849014092
confirmatory,1test,AIRM,F,subject,1,right_hand,feet,-1.156837036776681
confirmatory,1test,AIRM,F,subject,1,right_hand,tongue,-1.4985841902110644
confirmatory,1test,AIRM,F,subject,1,feet,left_hand,-0.9548236599978039
confirmatory,1test,AIRM,F,subject,1,feet,right_hand,-1.156837036776681
confirmatory,1test,AIRM,F,subject,1,feet,feet,0.9847538278541705
confirmatory,1test,AIRM,F,subject,1,feet,tongue,1.12217094245912
confirmatory,1test,AIRM,F,subject,1,tongue,left_hand,-1.179285068558545
confirmatory,1test,AIRM,F,subject,1,tongue,right_hand,-1.4985841902110644
confirmatory,1test,AIRM,F,subject,1,tongue,feet,1.12217094245912
confirmatory,1test,AIRM,F,subject,1,tongue,tongue,1.5497439736672611
confirmatory,1test,AIRM,F,subject,2,left_hand,left_hand,0.1494576657081155
confirmatory,1test,AIRM,F,subject,2,left_hand,right_hand,0.007670960696811608
confirmatory,1test,AIRM,F,subject,2,left_hand,feet,-0.054653484083160134
confirmatory,1test,AIRM,F,subject,2,left_hand,tongue,-0.10286237707611387
confirmatory,1test,AIRM,F,subject,2,right_hand,left_hand,0.007670960696811608
confirmatory,1test,AIRM,F,subject,2,right_hand,right_hand,0.09567075283273907
confirmatory,1test,AIRM,F,subject,2,right_hand,feet,-0.09594011496369172
confirmatory,1test,AIRM,F,subject,2,right_hand,tongue,-0.007606297642144431
confirmatory,1test,AIRM,F,subject,2,feet,left_hand,-0.054653484083160134
confirmatory,1test,AIRM,F,subject,2,feet,right_hand,-0.09594011496369172
confirmatory,1test,AIRM,F,subject,2,feet,feet,0.283002663023484
confirmatory,1test,AIRM,F,subject,2,feet,tongue,-0.131888709458389
confirmatory,1test,AIRM,F,subject,2,tongue,left_hand,-0.10286237707611387
confirmatory,1test,AIRM,F,subject,2,tongue,right_hand,-0.007606297642144431
confirmatory,1test,AIRM,F,subject,2,tongue,feet,-0.131888709458389
confirmatory,1test,AIRM,F,subject,2,tongue,tongue,0.2424383957028466
confirmatory,1test,AIRM,F,subject,3,left_hand,left_hand,0.9247582452859635
confirmatory,1test,AIRM,F,subject,3,left_hand,right_hand,0.2568415173381762
confirmatory,1test,AIRM,F,subject,3,left_hand,feet,-0.3651622189336173
confirmatory,1test,AIRM,F,subject,3,left_hand,tongue,-0.8138836300579169
confirmatory,1test,AIRM,F,subject,3,right_hand,left_hand,0.2568415173381762
confirmatory,1test,AIRM,F,subject,3,right_hand,right_hand,1.1950798560759361
confirmatory,1test,AIRM,F,subject,3,right_hand,feet,-0.4620845570006563
confirmatory,1test,AIRM,F,subject,3,right_hand,tongue,-0.9858245692847947
confirmatory,1test,AIRM,F,subject,3,feet,left_hand,-0.3651622189336173
confirmatory,1test,AIRM,F,subject,3,feet,right_hand,-0.4620845570006563
confirmatory,1test,AIRM,F,subject,3,feet,feet,0.4254904473565732
confirmatory,1test,AIRM,F,subject,3,feet,tongue,0.39863048358688313
confirmatory,1test,AIRM,F,subject,3,tongue,left_hand,-0.8138836300579169
confirmatory,1test,AIRM,F,subject,3,tongue,right_hand,-0.9858245692847947
confirmatory,1test,AIRM,F,subject,3,tongue,feet,0.39863048358688313
