protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,2,1test_fold3,F2-S-REVERSE,231,57,0.35238095238095235,0.3508771929824561,0.3507326007326007,"[[6, 2, 2, 4], [2, 6, 1, 5], [3, 5, 4, 3], [3, 3, 4, 4]]"
P0,2,1test_fold4,F0,231,57,0.6297619047619047,0.631578947368421,0.6319002188023324,"[[11, 2, 2, 0], [2, 9, 3, 0], [2, 2, 7, 3], [1, 1, 3, 9]]"
P0,2,1test_fold4,F1,231,57,0.5928571428571429,0.5964912280701754,0.5878720585943588,"[[12, 2, 1, 0], [3, 10, 1, 0], [0, 4, 6, 4], [1, 6, 1, 6]]"
P0,2,1test_fold4,F2-S,231,57,0.3857142857142857,0.38596491228070173,0.3876715176715177,"[[6, 5, 2, 2], [1, 7, 3, 3], [1, 5, 5, 3], [2, 6, 2, 4]]"
P0,2,1test_fold4,F2-V,231,57,0.3857142857142857,0.38596491228070173,0.3802381828697618,"[[6, 4, 3, 2], [3, 8, 1, 2], [1, 5, 4, 4], [3, 7, 0, 4]]"
P0,2,1test_fold4,F3-G,231,57,0.24285714285714283,0.24561403508771928,0.2368981593119524,"[[6, 3, 3, 3], [2, 5, 2, 5], [2, 7, 2, 3], [4, 4, 5, 1]]"
P0,2,1test_fold4,F3-D,231,57,0.3642857142857143,0.3684210526315789,0.33675349991139464,"[[9, 3, 1, 2], [3, 7, 1, 3], [3, 6, 1, 4], [3, 5, 2, 4]]"
P0,2,1test_fold4,F2-S-SHUFFLE,231,57,0.3857142857142857,0.38596491228070173,0.38483355724735036,"[[6, 4, 2, 3], [1, 6, 5, 2], [4, 3, 6, 1], [3, 6, 1, 4]]"
P0,2,1test_fold4,F2-S-REVERSE,231,57,0.3857142857142857,0.38596491228070173,0.3876715176715177,"[[6, 5, 2, 2], [1, 7, 3, 3], [1, 5, 5, 3], [2, 6, 2, 4]]"
P1,2,0train_to_1test,F0,288,288,0.5381944444444444,0.5381944444444444,0.5028360417684008,"[[69, 1, 0, 2], [19, 21, 14, 18], [18, 22, 19, 13], [19, 3, 4, 46]]"
P1,2,0train_to_1test,F1,288,288,0.5520833333333333,0.5520833333333334,0.5448935952011462,"[[57, 7, 2, 6], [13, 46, 7, 6], [3, 33, 31, 5], [10, 27, 10, 25]]"
P1,2,0train_to_1test,F2-S,288,288,0.41666666666666663,0.4166666666666667,0.4070591368245488,"[[38, 10, 11, 13], [8, 35, 18, 11], [8, 25, 33, 6], [20, 20, 18, 14]]"
P1,2,0train_to_1test,F2-V,288,288,0.3923611111111111,0.3923611111111111,0.3876683156723845,"[[33, 15, 6, 18], [12, 30, 22, 8], [7, 23, 33, 9], [21, 15, 19, 17]]"
P1,2,0train_to_1test,F3-G,288,288,0.2881944444444445,0.2881944444444444,0.22852079372668666,"[[13, 46, 9, 4], [6, 58, 5, 3], [9, 55, 5, 3], [5, 57, 3, 7]]"
P1,2,0train_to_1test,F3-D,288,288,0.27083333333333337,0.2708333333333333,0.19184399115861595,"[[10, 52, 6, 4], [4, 61, 3, 4], [6, 58, 4, 4], [5, 61, 3, 3]]"
P1,2,0train_to_1test,F2-S-SHUFFLE,288,288,0.28472222222222227,0.2847222222222222,0.28651215721149803,"[[20, 14, 17, 21], [8, 20, 25, 19], [10, 27, 21, 14], [14, 20, 17, 21]]"
P1,2,0train_to_1test,F2-S-REVERSE,288,288,0.41666666666666663,0.4166666666666667,0.4070591368245488,"[[38, 10, 11, 13], [8, 35, 18, 11], [8, 25, 33, 6], [20, 20, 18, 14]]"
P1,2,1test_to_0train,F0,288,288,0.4513888888888889,0.4513888888888889,0.4521864561190404,"[[25, 17, 9, 21], [0, 29, 27, 16], [0, 19, 30, 23], [3, 11, 12, 46]]"
P1,2,1test_to_0train,F1,288,288,0.46875,0.46875,0.4705280154948297,"[[37, 7, 6, 22], [0, 17, 31, 24], [1, 5, 35, 31], [2, 12, 12, 46]]"
P1,2,1test_to_0train,F2-S,288,288,0.42013888888888884,0.4201388888888889,0.4202721067610798,"[[37, 5, 15, 15], [9, 25, 24, 14], [14, 10, 31, 17], [12, 15, 17, 28]]"
P1,2,1test_to_0train,F2-V,288,288,0.3402777777777778,0.3402777777777778,0.3390578093941952,"[[24, 16, 13, 19], [18, 21, 19, 14], [10, 15, 30, 17], [15, 13, 21, 23]]"
P1,2,1test_to_0train,F3-G,288,288,0.2951388888888889,0.2951388888888889,0.274472044181616,"[[39, 3, 21, 9], [20, 10, 28, 14], [30, 11, 24, 7], [32, 8, 20, 12]]"
P1,2,1test_to_0train,F3-D,288,288,0.29513888888888884,0.2951388888888889,0.2781430380792711,"[[36, 5, 17, 14], [22, 9, 26, 15], [31, 4, 24, 13], [29, 8, 19, 16]]"
P1,2,1test_to_0train,F2-S-SHUFFLE,288,288,0.3229166666666667,0.3229166666666667,0.3231669479945342,"[[31, 12, 15, 14], [21, 18, 23, 10], [12, 20, 21, 19], [9, 21, 19, 23]]"
P1,2,1test_to_0train,F2-S-REVERSE,288,288,0.42013888888888884,0.4201388888888889,0.4202721067610798,"[[37, 5, 15, 15], [9, 25, 24, 14], [14, 10, 31, 17], [12, 15, 17, 28]]"
P0,3,0train_fold0,F0,230,58,0.8261904761904763,0.8275862068965517,0.8271505376344086,"[[11, 1, 0, 3], [0, 15, 0, 0], [2, 0, 10, 2], [2, 0, 0, 12]]"
P0,3,0train_fold0,F1,230,58,0.844047619047619,0.8448275862068966,0.8442414648755027,"[[12, 1, 0, 2], [0, 14, 1, 0], [1, 1, 11, 1], [2, 0, 0, 12]]"
P0,3,0train_fold0,F2-S,230,58,0.5035714285714286,0.5,0.5002133469875405,"[[6, 5, 1, 3], [4, 6, 4, 1], [2, 0, 10, 2], [4, 2, 1, 7]]"
P0,3,0train_fold0,F2-V,230,58,0.4535714285714285,0.4482758620689655,0.44749910415671285,"[[5, 3, 2, 5], [7, 4, 1, 3], [2, 0, 8, 4], [3, 1, 1, 9]]"
P0,3,0train_fold0,F3-G,230,58,0.4107142857142857,0.41379310344827586,0.40214957456336764,"[[8, 3, 1, 3], [3, 7, 2, 3], [4, 4, 3, 3], [3, 4, 1, 6]]"
P0,3,0train_fold0,F3-D,230,58,0.32976190476190476,0.3275862068965517,0.31918883834206413,"[[2, 5, 6, 2], [3, 6, 2, 4], [3, 3, 4, 4], [3, 3, 1, 7]]"
P0,3,0train_fold0,F2-S-SHUFFLE,230,58,0.5511904761904762,0.5517241379310345,0.5495424836601308,"[[6, 4, 1, 4], [1, 11, 1, 2], [2, 1, 8, 3], [3, 3, 1, 7]]"
P0,3,0train_fold0,F2-S-REVERSE,230,58,0.5035714285714286,0.5,0.5002133469875405,"[[6, 5, 1, 3], [4, 6, 4, 1], [2, 0, 10, 2], [4, 2, 1, 7]]"
P0,3,0train_fold1,F0,230,58,0.8273809523809524,0.8275862068965517,0.8273390186627116,"[[11, 1, 0, 2], [0, 14, 1, 0], [1, 0, 12, 1], [3, 1, 0, 11]]"
P0,3,0train_fold1,F1,230,58,0.8452380952380953,0.8448275862068966,0.8435550082101806,"[[11, 0, 1, 2], [1, 14, 0, 0], [0, 0, 13, 1], [2, 1, 1, 11]]"
P0,3,0train_fold1,F2-S,230,58,0.6047619047619047,0.603448275862069,0.6027097902097902,"[[7, 4, 1, 2], [1, 9, 4, 1], [0, 3, 11, 0], [2, 2, 3, 8]]"
P0,3,0train_fold1,F2-V,230,58,0.5190476190476191,0.5172413793103449,0.5174764890282131,"[[8, 4, 2, 0], [3, 8, 2, 2], [1, 4, 8, 1], [4, 2, 3, 6]]"
P0,3,0train_fold1,F3-G,230,58,0.36547619047619045,0.3620689655172414,0.356005106005106,"[[4, 3, 6, 1], [4, 3, 7, 1], [2, 3, 9, 0], [4, 3, 3, 5]]"
P0,3,0train_fold1,F3-D,230,58,0.32857142857142857,0.3275862068965517,0.3313772624434389,"[[3, 6, 5, 0], [4, 3, 4, 4], [1, 5, 7, 1], [2, 5, 2, 6]]"
P0,3,0train_fold1,F2-S-SHUFFLE,230,58,0.5499999999999999,0.5517241379310345,0.5485714285714285,"[[6, 3, 2, 3], [3, 10, 1, 1], [0, 5, 8, 1], [2, 2, 3, 8]]"
P0,3,0train_fold1,F2-S-REVERSE,230,58,0.6047619047619047,0.603448275862069,0.6027097902097902,"[[7, 4, 1, 2], [1, 9, 4, 1], [0, 3, 11, 0], [2, 2, 3, 8]]"
P0,3,0train_fold2,F0,230,58,0.8797619047619047,0.8793103448275862,0.8806765351815407,"[[13, 0, 0, 1], [1, 12, 1, 0], [0, 0, 14, 1], [3, 0, 0, 12]]"
P0,3,0train_fold2,F1,230,58,0.8083333333333333,0.8103448275862069,0.8118778801843318,"[[10, 0, 1, 3], [1, 11, 1, 1], [0, 0, 14, 1], [3, 0, 0, 12]]"
P0,3,0train_fold2,F2-S,230,58,0.480952380952381,0.4827586206896552,0.48427750410509035,"[[7, 3, 0, 4], [4, 5, 3, 2], [1, 4, 9, 1], [4, 3, 1, 7]]"
