direction,session,subject,class,delta_norm
REVERSE,2,14,right_hand,0.8560355209968888
REVERSE,2,14,left_hand,0.852160930319761
REVERSE,2,14,both_hand,0.7187634761686036
REVERSE,2,14,rest,2.10451288283658
REVERSE,2,25,right_hand,0.31913706253365937
REVERSE,2,25,left_hand,0.3664448873337092
REVERSE,2,25,both_hand,0.35430037867452197
REVERSE,2,25,rest,0.47440966275114077
REVERSE,2,39,right_hand,0.4724002371674526
REVERSE,2,39,left_hand,0.4634207494820767
REVERSE,2,39,both_hand,0.3530579193302756
REVERSE,2,39,rest,0.3959383352280283
REVERSE,2,46,right_hand,0.3041990133574264
REVERSE,2,46,left_hand,0.3757328462496311
REVERSE,2,46,both_hand,0.393304321609555
REVERSE,2,46,rest,0.46986752820647937
REVERSE,2,50,right_hand,0.7310472791636574
REVERSE,2,50,left_hand,0.5200549691626091
REVERSE,2,50,both_hand,0.7429175142282936
REVERSE,2,50,rest,0.43790648402925075
REVERSE,2,51,right_hand,0.4259060267596246
REVERSE,2,51,left_hand,0.517262578962855
REVERSE,2,51,both_hand,0.3532696361521718
REVERSE,2,51,rest,0.40276234713445674
REVERSE,2,54,right_hand,0.9690765806360401
REVERSE,2,54,left_hand,0.5881013804827057
REVERSE,2,54,both_hand,0.32344207967538513
REVERSE,2,54,rest,0.7350398584234079
REVERSE,2,58,right_hand,0.42341514536506425
REVERSE,2,58,left_hand,0.38931736789976584
REVERSE,2,58,both_hand,0.4075751259008287
REVERSE,2,58,rest,0.41037071523289576
REVERSE,2,6,right_hand,0.4397438910270282
REVERSE,2,6,left_hand,1.0472611101791212
REVERSE,2,6,both_hand,0.5942012102742236
REVERSE,2,6,rest,0.3971598528427698
REVERSE,2,9,right_hand,0.3910920357343024
REVERSE,2,9,left_hand,0.3529119678842657
REVERSE,2,9,both_hand,0.5615867123691618
REVERSE,2,9,rest,0.4172428181013791
REVERSE,2,18,right_hand,0.619132469227815
REVERSE,2,18,left_hand,0.6526892769157577
REVERSE,2,18,both_hand,0.5476484230248747
REVERSE,2,18,rest,0.7387278917495556
REVERSE,2,21,right_hand,0.8021633472025839
REVERSE,2,21,left_hand,1.2474781223690197
REVERSE,2,21,both_hand,1.5130673583294738
REVERSE,2,21,rest,0.9480094453292219
REVERSE,2,23,right_hand,0.46816592679669544
REVERSE,2,23,left_hand,0.396252191234243
REVERSE,2,23,both_hand,0.41248596937522447
REVERSE,2,23,rest,0.5417219899521043
REVERSE,2,27,right_hand,0.5503593977591397
REVERSE,2,27,left_hand,0.4494053129331731
REVERSE,2,27,both_hand,0.37631598357575863
REVERSE,2,27,rest,0.35942792677725843
