registration_id,fixture_type,solver,subject,session,class_label,gpa_start,gpa_outer_iteration,trial_position,global_sample_index,target_hash,source_hash,start_index,initial_determinant,final_determinant,starting_permutation,final_permutation,initial_objective,final_objective,final_gradient_norm,gradient_tolerance,gradient_ratio_to_tolerance,optimizer_iterations,cost_calls_counted,gradient_calls_counted,hessian_calls_counted,runtime_seconds,alternations,stopping_criterion,converged,objective_change_last_10_iterations,objective_change_last_50_iterations,objective_change_last_100_iterations,trajectory_classification,truth_determinant,dimension,audit_index
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,2,1,1,"3,2,0,4,1","3,2,0,4,1",0.1266248038977363,0.043188806271850934,3.639533574521522e-07,1e-06,0.36395335745215224,18,19,18,174,0.246529875,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,3,-1,-1,"3,2,0,4,1","3,2,0,4,1",0.12887283183805465,0.04563322735924631,4.6190173210834733e-07,1e-06,0.46190173210834734,15,16,16,163,0.226266165,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,22.0,
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,0,-1,-1,"0,4,2,3,1","0,4,2,3,1",7.619009737410292,4.204068371993108,0.00060280469001415,1e-06,602.80469001415,250,636,250,0,0.540640125,1,action_failure:Terminated - max iterations reached after 0.54 seconds.,False,6.86997124077493e-07,1.659836501133327e-05,0.00045223657158910413,still_descending_at_termination,,,0.0
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,1,1,1,"0,4,2,3,1","0,4,2,3,1",8.262412978889198,4.168630205192207,0.006140511687463824,1e-06,6140.511687463824,250,619,250,0,0.535193708,1,action_failure:Terminated - max iterations reached after 0.53 seconds.,False,2.2256973925216528e-05,0.0004053324174257966,0.0035865892667175103,still_descending_at_termination,,,0.0
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,2,-1,-1,"1,4,3,2,0","1,4,3,2,0",7.878272038575647,3.8474459319566408,0.0011967966799344488,1e-06,1196.7966799344488,250,631,250,0,0.541931333,1,action_failure:Terminated - max iterations reached after 0.54 seconds.,False,3.859410951267961e-06,0.0005678043681420775,0.03418150864139635,still_descending_at_termination,,,0.0
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,3,1,1,"1,4,3,2,0","1,4,3,2,0",8.2299444669677,3.848284486069417,0.00981950296291051,1e-06,9819.502962910512,250,633,250,0,0.539058125,1,action_failure:Terminated - max iterations reached after 0.54 seconds.,False,0.00014527531159824747,0.0030890554413547378,0.016420065441562492,still_descending_at_termination,,,0.0
real_audit_0,deterministic_real_audit_bank,TrustRegions,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,0,-1,-1,"0,4,2,3,1","0,4,2,3,1",7.619009737410292,4.20406795916651,2.2271120129808045e-07,1e-06,0.22271120129808047,22,23,23,391,0.518953083,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,,,0.0
real_audit_0,deterministic_real_audit_bank,TrustRegions,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,1,1,1,"0,4,2,3,1","0,4,2,3,1",8.262412978889198,4.168577517602893,7.082231916805322e-07,1e-06,0.7082231916805323,22,23,22,352,0.467267458,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,,,0.0
real_audit_0,deterministic_real_audit_bank,TrustRegions,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,2,-1,-1,"1,4,3,2,0","1,4,3,2,0",7.878272038575647,3.8474336352301295,5.222390672324936e-07,1e-06,0.5222390672324936,30,31,29,461,0.611776791,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,,,0.0
real_audit_0,deterministic_real_audit_bank,TrustRegions,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,3,1,1,"1,4,3,2,0","1,4,3,2,0",8.2299444669677,3.8482082424374546,1.8344968840533385e-07,1e-06,0.18344968840533385,19,20,20,264,0.357904708,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,,,0.0
real_audit_1,deterministic_real_audit_bank,ConjugateGradient,6.0,0train,tongue,0.0,1.0,68.0,1715.0,e10ea8d6ded91aa06d17b832ecd60a1caabd5797534e4c846c9c9d35c0dbc0d3,cec1d2780b8079418178463b664c6b67e6a6fb4c2494cbc599a14dc7a5b2760c,0,-1,-1,"2,1,3,4,0","2,1,3,4,0",14.508079979628397,7.62258924374342,0.028947650887914723,1e-06,28947.650887914722,250,622,250,0,0.534821416,1,action_failure:Terminated - max iterations reached after 0.53 seconds.,False,0.0008020118919009889,0.10214899100909314,0.31391313746665084,still_descending_at_termination,,,1.0
real_audit_1,deterministic_real_audit_bank,ConjugateGradient,6.0,0train,tongue,0.0,1.0,68.0,1715.0,e10ea8d6ded91aa06d17b832ecd60a1caabd5797534e4c846c9c9d35c0dbc0d3,cec1d2780b8079418178463b664c6b67e6a6fb4c2494cbc599a14dc7a5b2760c,1,1,1,"2,1,3,4,0","2,1,3,4,0",15.221795443940175,7.51895993473988,4.418475335000934e-05,1e-06,44.18475335000934,250,655,250,0,0.551254624,1,action_failure:Terminated - max iterations reached after 0.55 seconds.,False,5.648148615478021e-10,1.2937134030721609e-08,1.390230623066202e-06,plateaued_by_frozen_descriptive_rule,,,1.0
