protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,subject,split,D_shape_norm,G_shape_norm,D_upper_mean,D_upper_max,class_radius_mean,class_radius_max
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,3,B,2.8811547697414026,1.4446514154937544,1.1544067896724386,1.4488368759824197,0.7130492348085696,0.8105922084285361
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,3,F,3.547832068059536,2.398096868528478,1.404032384276445,1.9341993465053635,0.8637801385703853,1.0910698104174128
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,4,A,1.3666521143338797,0.28167981173779433,0.5560396690429139,0.6110402559700967,0.34124091993050104,0.3561794393632199
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,4,B,1.6986857369388235,0.5577589778169716,0.6688079516034073,0.9016663079561275,0.41594635553412335,0.5516635082894875
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,4,F,1.3767870698561968,0.33441797282193275,0.5503554808767014,0.7127113265970269,0.3412947160459279,0.413769724225794
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,5,A,1.081482972488886,0.17148605730597066,0.4410240075298096,0.46601608563563046,0.2703002620983382,0.2769023362448442
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,5,B,1.2841794801169106,0.29299305703459266,0.512838505253267,0.7184229122549783,0.3134713286152849,0.3909779042676079
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,5,F,0.9815930817137863,0.1612424565416129,0.39519209788657017,0.5260964737179507,0.2419938657147927,0.28432763451941573
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,6,A,1.7427501060645905,0.5235340136819908,0.7001812906614361,0.8269443298987479,0.4351017101984173,0.45934690372000003
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,6,B,1.8701021561346762,0.6273216136044146,0.7464834886436006,1.0375778838281475,0.4568549699004953,0.5859825882450598
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,6,F,1.628563460647604,0.48460536848520225,0.6493128672121777,0.8626958740313453,0.403419535612159,0.4705509191271063
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,7,A,3.0218112558655634,1.8931848652305998,1.1772087564592864,1.8311020204298039,0.7238524392456751,1.00659472843552
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,7,B,2.3468029007411895,1.1375258584806849,0.9101694286310421,1.3325311902905042,0.5721612218848167,0.7682502897134477
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,7,F,2.6028598199810413,1.4335214395862468,1.0051754797984482,1.5503894587727778,0.6270620305988961,0.8719216114884989
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,8,A,3.592902435041821,2.4465834281628926,1.3964417630673163,2.0663796643841383,0.8467536402944789,1.2857954003436853
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,8,B,3.1372503719529004,1.9639731343350426,1.1916694734079856,1.6771191398213625,0.7364827069909052,1.1996446997336705
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,8,F,3.279978896587363,2.1069340876295484,1.2565615579612883,1.8431194620695548,0.7704676001610852,1.2270739827435193
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,9,A,3.6944074926423682,2.904705561994587,1.400746597750212,2.1671924538320835,0.8584708901049395,1.4020381690852433
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,9,B,3.6067160038786557,2.7058401359359436,1.3893766008538704,2.2699856142174193,0.8274362008397822,1.28406077264011
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,9,F,3.5425982401971314,2.6926795573791837,1.3477294798261552,2.192455626308771,0.8137799253179152,1.3273062158640023
