protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,subject,split,class_left,class_right,radius_left,radius_right,cosine,angle_radians
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,3,F,right_hand,feet,0.9942236030393697,0.6154216224351954,-0.6450092674468177,2.271831737352274
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,3,F,right_hand,tongue,0.9942236030393697,1.1571992184447009,-0.6478296237849882,2.275528234137548
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,3,F,feet,tongue,0.6154216224351954,1.1571992184447009,0.4303853271095134,1.1258767067457154
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,A,left_hand,right_hand,0.38966125239382865,0.39593776855463814,-0.13002783744034072,1.701193382240546
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,A,left_hand,feet,0.38966125239382865,0.36680790686664455,-0.30434870392098895,1.8800509494740967
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,A,left_hand,tongue,0.38966125239382865,0.4073664957279567,-0.5571270461280879,2.161718486344687
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,A,right_hand,feet,0.39593776855463814,0.36680790686664455,-0.5169695978652081,2.1141033035822407
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,A,right_hand,tongue,0.39593776855463814,0.4073664957279567,-0.38360428255714196,1.9644923355601398
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,A,feet,tongue,0.36680790686664455,0.4073664957279567,-0.10434135375393684,1.6753279436083552
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,B,left_hand,right_hand,0.5815581753560548,0.3543097249537786,0.218775901747454,1.3502365211614784
