session,geometry,subject,split,class_pair,D_exact,D_tan,C,relative_curvature
1test,AIRM,1,F,24,2.506748459974084,2.5065118469679732,0.0011862025916418162,0.00018877190343573018
1test,AIRM,1,F,34,0.5397582730877358,0.538661226192485,0.0011830767634632977,0.004060825328569652
1test,AIRM,2,F,12,0.47940189305839953,0.4793605085394826,3.967792074577314e-05,0.000172643175800308
1test,AIRM,2,F,13,0.73611272138583,0.736048433798972,9.46416881327794e-05,0.0001746601512181123
1test,AIRM,2,F,14,0.7731009945618632,0.7730593868281983,6.433222935209315e-05,0.00010763564995666083
1test,AIRM,2,F,23,0.7554012764300229,0.7553500154124619,7.744264850140237e-05,0.00013571403674164921
1test,AIRM,2,F,24,0.5944602504232339,0.5944087346429849,6.124551337949313e-05,0.00017331200207188304
1test,AIRM,2,F,34,0.8884629284495202,0.8883796922730216,0.00014789758598876546,0.0001873624094335678
1test,AIRM,3,F,12,1.2678598682321225,1.2673417324011498,0.001313578788027403,0.0008171722613229639
1test,AIRM,3,F,13,1.4427368186750635,1.4424191937539417,0.0009163974508719086,0.0004402604185906026
1test,AIRM,3,F,14,1.9877668206273664,1.9875362424553744,0.0009166181133997142,0.00023198374801972096
1test,AIRM,3,F,23,1.595558616315028,1.5952239395877377,0.0010678806633044324,0.00041946641605695133
1test,AIRM,3,F,24,2.1367146378349693,2.1364699399517315,0.0010456392208686438,0.0002290281232959972
1test,AIRM,3,F,34,1.013589271555289,1.0129186985413183,0.0013589215573430735,0.0013227274855164485
1test,AIRM,4,F,12,0.49865443963434697,0.49841770626422105,0.00023604024935725,0.0009492632869621443
1test,AIRM,4,F,13,1.4327380018991132,1.432661633574716,0.0002188257688890971,0.00010660188951458981
1test,AIRM,4,F,14,1.3362551267730616,1.336219586029978,9.498173716537828e-05,5.319383960169283e-05
1test,AIRM,4,F,23,1.3552736844694089,1.3552141905355128,0.00016125758646157173,8.779426435057464e-05
1test,AIRM,4,F,24,1.2090768224878015,1.2090018583455355,0.00018126919424021892,0.0001239984373871737
1test,AIRM,4,F,34,0.48591740145401735,0.48560002581417727,0.0003083359650950246,0.0013058680029536971
1test,AIRM,5,F,12,0.35149579163707584,0.35145881007227003,2.5996361158658887e-05,0.00021041287112959515
1test,AIRM,5,F,13,0.47544907740817094,0.4754032884429171,4.353854594146833e-05,0.00019260426630642125
1test,AIRM,5,F,14,0.568565298779204,0.5685240365309224,4.691886247193411e-05,0.00014513988495737715
1test,AIRM,5,F,23,0.4810596726730032,0.4810180872813273,4.000838047041322e-05,0.00017288330993181494
1test,AIRM,5,F,24,0.5823305848105479,0.5822886128524389,4.8881348177154393e-05,0.00014414645777463975
1test,AIRM,5,F,34,0.5311088381591696,0.5310254329472468,8.85875339721176e-05,0.0003140548865428862
1test,AIRM,6,F,12,0.5562145699199453,0.5561104279176377,0.00011583975249168654,0.00037443194947847435
1test,AIRM,6,F,13,1.072539022150177,1.0724727804748784,0.00014208917534119792,0.00012351929083469207
1test,AIRM,6,F,14,0.6775619305859665,0.6774282359687694,0.0001811548916232919,0.0003945954488861017
1test,AIRM,6,F,23,0.9313782957374873,0.9312906038035589,0.00016334103806914246,0.00018829686306070004
1test,AIRM,6,F,24,0.6375430891893333,0.6374115244520862,0.00016773906874578692,0.0004126816351378789
1test,AIRM,6,F,34,0.860471649579312,0.8603217566585674,0.00025793474965907226,0.0003483667712993273
1test,AIRM,7,F,12,0.6104204373228967,0.6102204306899182,0.00024413627008734728,0.0006552004299843871
1test,AIRM,7,F,13,1.2043690223266867,1.2042577515605775,0.0002680097464018427,0.00018476998981979418
1test,AIRM,7,F,14,1.5798189062327945,1.5797297729442055,0.00028162096423223204,0.00011283669766197692
1test,AIRM,7,F,23,1.1650531345592559,1.1649639076055187,0.00020790032282791415,0.00015316646823268016
1test,AIRM,7,F,24,1.5250985211350732,1.5249892562475857,0.0003332674978224759,0.00014328382312401344
1test,AIRM,7,F,34,1.005718760306749,1.0054452783250756,0.0005500171267553977,0.0005437798496206246
1test,AIRM,8,F,12,1.2996089793404622,1.2990459740676479,0.0014630564409936486,0.0008662348931780085
1test,AIRM,8,F,13,0.9708647833955235,0.9704260569546082,0.0008516956211683802,0.0009035806424118637
1test,AIRM,8,F,14,1.9617282890223322,1.9613144761674752,0.0016234055263892877,0.0004218415075211311
1test,AIRM,8,F,23,0.8616598930156372,0.8613403670841862,0.0005505432629987483,0.0007415145808029062
1test,AIRM,8,F,24,1.5221093115904605,1.5214874893398487,0.0018925762127093293,0.0008168864488123346
1test,AIRM,8,F,34,1.4087892345894637,1.408487516817188,0.0008500224653187338,0.00042829041520379995
1test,AIRM,9,F,12,2.378031305817377,2.377556539706327,0.0022577919471773455,0.00039925354821400975
1test,AIRM,9,F,13,2.801786302574738,2.801075796741646,0.003980866203574074,0.0005071162948758074
1test,AIRM,9,F,14,4.032111428232423,4.031274813070529,0.006745951185685328,0.00041493315992690595
1test,AIRM,9,F,23,1.2184612750154806,1.217867102172938,0.0014476001572414354,0.0009750461223821993
1test,AIRM,9,F,24,2.039438196383882,2.038915432589755,0.0021320156168753712,0.0005125890019363243
1test,AIRM,9,F,34,2.057094391067245,2.055501953413486,0.006549053273663397,0.0015476404892769422
