protocol,target_subject,condition,true_class,predicted_class,count
T2,4,MOV_LEN,right_hand,feet,6
T2,4,MOV_LEN,right_hand,tongue,10
T2,4,MOV_LEN,feet,left_hand,41
T2,4,MOV_LEN,feet,right_hand,15
T2,4,MOV_LEN,feet,feet,3
T2,4,MOV_LEN,feet,tongue,13
T2,4,MOV_LEN,tongue,left_hand,37
T2,4,MOV_LEN,tongue,right_hand,13
T2,4,MOV_LEN,tongue,feet,1
T2,4,MOV_LEN,tongue,tongue,21
T2,4,MOV_GRAM,left_hand,left_hand,26
T2,4,MOV_GRAM,left_hand,right_hand,35
T2,4,MOV_GRAM,left_hand,feet,4
T2,4,MOV_GRAM,left_hand,tongue,7
T2,4,MOV_GRAM,right_hand,left_hand,27
T2,4,MOV_GRAM,right_hand,right_hand,29
T2,4,MOV_GRAM,right_hand,feet,4
T2,4,MOV_GRAM,right_hand,tongue,12
T2,4,MOV_GRAM,feet,left_hand,26
T2,4,MOV_GRAM,feet,right_hand,27
T2,4,MOV_GRAM,feet,feet,8
T2,4,MOV_GRAM,feet,tongue,11
T2,4,MOV_GRAM,tongue,left_hand,29
T2,4,MOV_GRAM,tongue,right_hand,26
T2,4,MOV_GRAM,tongue,feet,1
T2,4,MOV_GRAM,tongue,tongue,16
T2,4,MOV_SENSOR,left_hand,left_hand,15
T2,4,MOV_SENSOR,left_hand,right_hand,17
T2,4,MOV_SENSOR,left_hand,feet,28
T2,4,MOV_SENSOR,left_hand,tongue,12
T2,4,MOV_SENSOR,right_hand,left_hand,13
T2,4,MOV_SENSOR,right_hand,right_hand,16
T2,4,MOV_SENSOR,right_hand,feet,26
T2,4,MOV_SENSOR,right_hand,tongue,17
T2,4,MOV_SENSOR,feet,left_hand,18
T2,4,MOV_SENSOR,feet,right_hand,13
T2,4,MOV_SENSOR,feet,feet,22
T2,4,MOV_SENSOR,feet,tongue,19
T2,4,MOV_SENSOR,tongue,left_hand,13
T2,4,MOV_SENSOR,tongue,right_hand,15
T2,4,MOV_SENSOR,tongue,feet,21
T2,4,MOV_SENSOR,tongue,tongue,23
T2,4,STATIC_PLUS_LEN,left_hand,left_hand,33
T2,4,STATIC_PLUS_LEN,left_hand,right_hand,8
T2,4,STATIC_PLUS_LEN,left_hand,feet,17
T2,4,STATIC_PLUS_LEN,left_hand,tongue,14
T2,4,STATIC_PLUS_LEN,right_hand,left_hand,12
T2,4,STATIC_PLUS_LEN,right_hand,right_hand,32
T2,4,STATIC_PLUS_LEN,right_hand,feet,15
T2,4,STATIC_PLUS_LEN,right_hand,tongue,13
T2,4,STATIC_PLUS_LEN,feet,left_hand,15
T2,4,STATIC_PLUS_LEN,feet,right_hand,9
T2,4,STATIC_PLUS_LEN,feet,feet,34
T2,4,STATIC_PLUS_LEN,feet,tongue,14
T2,4,STATIC_PLUS_LEN,tongue,left_hand,6
T2,4,STATIC_PLUS_LEN,tongue,right_hand,13
T2,4,STATIC_PLUS_LEN,tongue,feet,18
T2,4,STATIC_PLUS_LEN,tongue,tongue,35
T2,4,STATIC_PLUS_GRAM,left_hand,left_hand,34
T2,4,STATIC_PLUS_GRAM,left_hand,right_hand,8
T2,4,STATIC_PLUS_GRAM,left_hand,feet,17
T2,4,STATIC_PLUS_GRAM,left_hand,tongue,13
T2,4,STATIC_PLUS_GRAM,right_hand,left_hand,13
T2,4,STATIC_PLUS_GRAM,right_hand,right_hand,32
T2,4,STATIC_PLUS_GRAM,right_hand,feet,14
T2,4,STATIC_PLUS_GRAM,right_hand,tongue,13
T2,4,STATIC_PLUS_GRAM,feet,left_hand,16
T2,4,STATIC_PLUS_GRAM,feet,right_hand,8
T2,4,STATIC_PLUS_GRAM,feet,feet,34
T2,4,STATIC_PLUS_GRAM,feet,tongue,14
T2,4,STATIC_PLUS_GRAM,tongue,left_hand,7
T2,4,STATIC_PLUS_GRAM,tongue,right_hand,11
T2,4,STATIC_PLUS_GRAM,tongue,feet,18
T2,4,STATIC_PLUS_GRAM,tongue,tongue,36
T2,4,STATIC_PLUS_SENSOR,left_hand,left_hand,30
T2,4,STATIC_PLUS_SENSOR,left_hand,right_hand,11
T2,4,STATIC_PLUS_SENSOR,left_hand,feet,20
